| Diseases                   | 1-4  |
| -------------------------- | ---- |
| Consumption (Tuberculosis) | 2.1  |
| Pneumonia                  | 14.9 |
| Diseases of the heart      | 0.7  |
| Typhoid fever              | 2.5  |
| Bright’s disease           |      |
| Cancer                     | 0.1  |
| Old age                    |      |
| Apoplexy (nervous system)  | 0.1  |
| Cholera infantum           | 6.1  |
| Paralysis (nervous system) | 0.2  |
| Bronchitis                 | 3.2  |
| Enteritis                  | 3.6  |
| Meningitis                 | 5    |
