"Cause of death","Percent of total deaths"
"All causes",100
"Diseases of heart",29.6
"Malignant neoplasms",23
"Cerebrovascular diseases",7
"Chronic lower respiratory diseases",5.1
"Accidents (unintentional injuries)",4.1
"Diabetes mellitus",2.9
"Influenza and pneumonia",2.7
"Alzheimer’s disease",2.1
"Nephritis,37251
Septicemia,1.3
"Intentional self-harm (suicide)",1.2
"Chronic liver disease and cirrhosis ",1.1
"Essential (primary) hypertension and hypertensive renal disease",0.8
"Assault (homicide)",0.7
"Pneumonitis due to solids and liquids",0.7
"All other causes",16.3
