Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",110673,100,50056.5
Infectious,30044,27.1,13588.7
"Respiratory system",19673,17.8,8897.9
"Nervous system",13883,12.5,6279.2
"Digestive system",5849,5.3,2645.5
"Circulatory system",2404,2.2,1087.3
"Accidents and injuries",2142,1.9,968.8
"Consumption (Tuberculosis)",1042,0.9,471.3
"Genitourinary system",518,0.5,234.3
"Bones and joints",333,0.3,150.6
Skin,318,0.3,143.8
"Absorbent system",38,0,17.2
Cancer,36,0,16.3
"Other causes",34393,31.1,15555.7
