Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",61539,100,7480.7
Infectious,25170,40.9,3059.7
"Respiratory system",14935,24.3,1815.5
"Nervous system",6823,11.1,829.4
"Digestive system",3140,5.1,381.7
"Accidents and injuries",2711,4.4,329.6
"Consumption (Tuberculosis)",1268,2.1,154.1
"Circulatory system",495,0.8,60.2
"Genitourinary system",490,0.8,59.6
"Bones and joints",268,0.4,32.6
Skin,110,0.2,13.4
Cancer,48,0.1,5.8
"Absorbent system",33,0.1,4
"Other causes",6048,9.8,735.2
