Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",25252,100,2745.2
"Consumption (Tuberculosis)",6839,27.1,743.5
Infectious,5338,21.1,580.3
"Accidents and injuries",4401,17.4,478.4
"Respiratory system",2972,11.8,323.1
"Digestive system",1306,5.2,142
"Nervous system",1254,5,136.3
"Circulatory system",830,3.3,90.2
"Genitourinary system",645,2.6,70.1
"Bones and joints",93,0.4,10.1
Cancer,82,0.3,8.9
Skin,32,0.1,3.5
"Absorbent system",16,0.1,1.7
"Other causes",1444,5.7,157
,,,
