| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.28           |
| 3     | 0.28           |
| 4     | 0.4            |
| 5     | 0.39           |
| 6     | 0.67           |
| 7     | 0.79           |
| 8     | 0.85           |
| 9     | 0.97           |
| 10    | 0.92           |
| 11    | 0.9            |
| 12    | 1.11           |
| 13    | 1.13           |
| 14    | 1.12           |
| 15    | 1.14           |
| 16    | 1.27           |
| 17    | 1.25           |
| 18    | 1.35           |
| 19    | 1.48           |
| 20+   | 0.28           |
| 20–29 | 0.41           |
| 30–39 | 0.47           |
| 40–49 | 0.53           |
| 50–59 | 0.63           |
| 60–69 | 0.56           |
| 70–79 | 0.58           |
| 80+   | 0.62           |
