| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.23           |
| 3     | 0.32           |
| 4     | 0.27           |
| 5     | 0.33           |
| 6     | 0.68           |
| 7     | 0.64           |
| 8     | 0.76           |
| 9     | 0.82           |
| 10    | 0.75           |
| 11    | 0.94           |
| 12    | 1.03           |
| 13    | 1.15           |
| 14    | 1.74           |
| 15    | 1.21           |
| 16    | 1.06           |
| 17    | 0.96           |
| 18    | 1.18           |
| 19    | 1.2            |
| 20+   | 0.21           |
| 20–29 | 0.32           |
| 30–39 | 0.34           |
| 40–49 | 0.43           |
| 50–59 | 0.4            |
| 60–69 | 0.36           |
| 70–79 | 0.43           |
| 80+   | 0.46           |
