| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.07           |
| 2–11 months       | 0.21           |
| 1–2 years         | 0.11           |
| 3–5 years         | 0.09           |
| 6–11 years        | 0.15           |
| 12–15 years       | 0.27           |
| 16–19 years       | 0.2            |
| 20–29 years       | 0.15           |
| 30–39 years       | 0.18           |
| 40–49 years       | 0.15           |
| 50–59 years       | 0.16           |
| 60–69 years       | 0.17           |
| 70–79 years       | 0.13           |
| 80 years and over | 0.16           |
