"Cause of death"," Death rates"
"All causes",869.7
"Diseases of heart",200.8
"Malignant neoplasms",182.7
"Accidents (unintentional injuries)",52.7
"Chronic lower respiratory diseases",47.8
"Cerebrovascular diseases",45.7
"Alzheimer disease",37
"Diabetes mellitus",26.7
"Nephritis, nephrotic syndrome and nephrosis",15.7
"Influenza and pneumonia",15.2
"Intentional self–harm (suicide)",14.5
"Dementia-related causes",82.8
"Drug-induced causes",22.7
"Alcohol-induced causes",11.9
"Injury by firearms",12.1
