"Table 16. Number of maternal deaths and maternal mortality rates for selected causes, United States, 2019",
"Page 70, 71",
,
"Cause of death",Number
"Maternal causes",754
"  Direct obstetric causes",530
"    Pregnancy with abortive outcome",26
"      Ectopic pregnancy",13
"      Spontaneous abortion",6
"      Medical abortion",–
"      Other abortion",3
"      Other and unspecified pregnancy with abortive outcome",4
"    Other direct obstetric causes",474
"      Eclampsia and pre-eclampsia",46
"      Hemorrhage of pregnancy and childbirth and placenta previa",32
"      Complications predominantly related to the puerperium",76
"        Obstetrical tetanus",–
"        Obstetric embolism",37
"        Other complications predominantly related to the puerperium",39
"      All other direct obstetric causes",320
"    Obstetric death of unspecified cause",30
"  Indirect obstetric causes",224
"Death from any obstetric cause occurring more than 42 days but less than 1 year after delivery",322
,
,
"Cause of death",Rates
"Maternal causes",20.1
"  Direct obstetric causes",14.1
"    Pregnancy with abortive outcome",0.7
"      Ectopic pregnancy",*
"      Spontaneous abortion",*
"      Medical abortion",*
"      Other abortion",*
"      Other and unspecified pregnancy with abortive outcome",*
"    Other direct obstetric causes",12.6
"      Eclampsia and pre-eclampsia",1.2
"      Hemorrhage of pregnancy and childbirth and placenta previa",0.9
"      Complications predominantly related to the puerperium",2
"        Obstetrical tetanus",*
"        Obstetric embolism",1
"        Other complications predominantly related to the puerperium",1
"      All other direct obstetric causes",8.5
"    Obstetric death of unspecified cause",0.8
"  Indirect obstetric causes",6
"Death from any obstetric cause occurring more than 42 days but less than 1 year after delivery",8.6
