"Table 8. Number of deaths from selected causes, by race and Hispanic origin and sex: United States, 2019",
"Page 45-49",
,
"Both sexes",
,
"Cause of death",Number
"All causes",2854838
"Enterocolitis due to Clostridium difficile",4533
Septicemia,38431
"Viral hepatitis",4285
"Human immunodeficiency virus (HIV) disease",5044
"Malignant neoplasms",599601
"  Malignant neoplasms of lip, oral cavity and pharynx",10492
"  Malignant neoplasm of esophagus",15962
"  Malignant neoplasm of stomach",11092
"  Malignant neoplasms of colon, rectum and anus",52986
"  Malignant neoplasms of liver and intrahepatic bile ducts",27959
"  Malignant neoplasm of pancreas",45886
"  Malignant neoplasms of trachea, bronchus and lung",139682
"  Malignant melanoma of skin",8092
"  Malignant neoplasm of breast",42748
"  Malignant neoplasm of cervix uteri",4152
"  Malignant neoplasm of ovary",13445
"  Malignant neoplasm of prostate",31638
"  Malignant neoplasms of kidney and renal pelvis",14021
"  Malignant neoplasm of bladder",16796
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",17233
"  Non-Hodgkin lymphoma",20270
"  Multiple myeloma and immunoproliferative neoplasms",12954
"  Leukemia",23170
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",15590
Anemias,5254
"Diabetes mellitus",87647
"Nutritional deficiencies",11570
Obesity,8379
"Parkinson disease",35311
"Alzheimer disease",121499
"Major cardiovascular diseases",869883
"  Diseases of heart",659041
"  Essential hypertension and hypertensive renal disease",36524
"  Cerebrovascular diseases",150005
"  Atherosclerosis",4417
"  Aortic aneurysm and dissection",9904
"Influenza and pneumonia",49783
"Chronic lower respiratory diseases",156979
"Pneumonitis due to solids and liquids",19184
"Chronic liver disease and cirrhosis",44358
"  Alcoholic liver disease",24110
"Cholelithiasis and other disorders of gallbladder",3850
"Nephritis, nephrotic syndrome and nephrosis",51565
"Pregnancy, childbirth and the puerperium",1103
"Certain conditions originating in the perinatal period",10412
"Congenital malformations, deformations and chromosomal abnormalities",9713
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32408
"Accidents (unintentional injuries)",173040
"  Motor vehicle accidents",39107
"  Falls",39443
"  Accidental discharge of firearms",486
"  Accidental drowning and submersion",3692
"  Accidental hanging, strangulation, and suffocation",7076
"  Accidental exposure to smoke, fire and flames",2692
"  Accidental poisoning and exposure to noxious substances",65773
"Intentional self–harm (suicide)",47511
"  Intentional self–harm (suicide) by poisoning",6125
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",13563
"  Intentional self–harm (suicide) by discharge of firearms",23941
"Assault (homicide)",19141
"  Assault (homicide) by discharge of firearms",14414
"Legal intervention",652
"Complications of medical and surgical care",5329
"Dementia-related causes",271872
"Drug-induced deaths",74511
"  Drug overdose deaths",70630
"Alcohol-induced deaths",39043
"Injury by firearms",39707
,
Male,
,
"Cause of death",Number
"All causes",1473823
"Enterocolitis due to Clostridium difficile",1889
Septicemia,18867
"Viral hepatitis",2777
"Human immunodeficiency virus (HIV) disease",3753
"Malignant neoplasms",315876
"  Malignant neoplasms of lip, oral cavity and pharynx",7375
"  Malignant neoplasm of esophagus",12823
"  Malignant neoplasm of stomach",6622
"  Malignant neoplasms of colon, rectum and anus",28093
"  Malignant neoplasms of liver and intrahepatic bile ducts",18692
"  Malignant neoplasm of pancreas",23732
"  Malignant neoplasms of trachea, bronchus and lung",74909
"  Malignant melanoma of skin",5295
"  Malignant neoplasm of breast",467
"  Malignant neoplasm of cervix uteri",…
"  Malignant neoplasm of ovary",…
"  Malignant neoplasm of prostate",31638
"  Malignant neoplasms of kidney and renal pelvis",9226
"  Malignant neoplasm of bladder",12056
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",9803
"  Non-Hodgkin lymphoma",11478
"  Multiple myeloma and immunoproliferative neoplasms",7247
"  Leukemia",13508
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",8424
Anemias,2392
"Diabetes mellitus",49512
"Nutritional deficiencies",4337
Obesity,4404
"Parkinson disease",21592
"Alzheimer disease",37983
"Major cardiovascular diseases",451389
"  Diseases of heart",357761
"  Essential hypertension and hypertensive renal disease",16613
"  Cerebrovascular diseases",64347
"  Atherosclerosis",2046
"  Aortic aneurysm and dissection",5816
"Influenza and pneumonia",24644
"Chronic lower respiratory diseases",73724
"Pneumonitis due to solids and liquids",10837
"Chronic liver disease and cirrhosis",28105
"  Alcoholic liver disease",16650
"Cholelithiasis and other disorders of gallbladder",1889
"Nephritis, nephrotic syndrome and nephrosis",26669
"Pregnancy, childbirth and the puerperium",…
"Certain conditions originating in the perinatal period",5858
"Congenital malformations, deformations and chromosomal abnormalities",5075
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",15687
"Accidents (unintentional injuries)",112720
"  Motor vehicle accidents",27835
"  Falls",20088
"  Accidental discharge of firearms",436
"  Accidental drowning and submersion",2784
"  Accidental hanging, strangulation, and suffocation",4124
"  Accidental exposure to smoke, fire and flames",1613
"  Accidental poisoning and exposure to noxious substances",46169
"Intentional self–harm (suicide)",37256
"  Intentional self–harm (suicide) by poisoning",3046
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",10592
"  Intentional self–harm (suicide) by discharge of firearms",20725
"Assault (homicide)",15264
"  Assault (homicide) by discharge of firearms",12127
"Legal intervention",613
"Complications of medical and surgical care",2863
"Dementia-related causes",90482
"Drug-induced deaths",50393
"  Drug overdose deaths",47881
"Alcohol-induced deaths",27921
"Injury by firearms",34041
,
Female,
,
"Cause of death",Number
"All causes",1381015
"Enterocolitis due to Clostridium difficile",2644
Septicemia,19564
"Viral hepatitis",1508
"Human immunodeficiency virus (HIV) disease",1291
"Malignant neoplasms",283725
"  Malignant neoplasms of lip, oral cavity and pharynx",3117
"  Malignant neoplasm of esophagus",3139
"  Malignant neoplasm of stomach",4470
"  Malignant neoplasms of colon, rectum and anus",24893
"  Malignant neoplasms of liver and intrahepatic bile ducts",9267
"  Malignant neoplasm of pancreas",22154
"  Malignant neoplasms of trachea, bronchus and lung",64773
"  Malignant melanoma of skin",2797
"  Malignant neoplasm of breast",42281
"  Malignant neoplasm of cervix uteri",4152
"  Malignant neoplasm of ovary",13445
"  Malignant neoplasm of prostate",…
"  Malignant neoplasms of kidney and renal pelvis",4795
"  Malignant neoplasm of bladder",4740
