"Cause of death",Number
"All causes",1381015
"Enterocolitis due to Clostridium difficile",2644
Septicemia,19564
"Viral hepatitis",1508
"Human immunodeficiency virus (HIV) disease",1291
"Malignant neoplasms",283725
"- Malignant neoplasms of lip, oral cavity and pharynx",3117
"- Malignant neoplasm of esophagus",3139
"- Malignant neoplasm of stomach",4470
"- Malignant neoplasms of colon, rectum and anus",24893
"- Malignant neoplasms of liver and intrahepatic bile ducts",9267
"- Malignant neoplasm of pancreas",22154
"- Malignant neoplasms of trachea, bronchus and lung",64773
"- Malignant melanoma of skin",2797
"- Malignant neoplasm of breast",42281
"- Malignant neoplasm of cervix uteri",4152
"- Malignant neoplasm of ovary",13445
"- Malignant neoplasm of prostate",…
"- Malignant neoplasms of kidney and renal pelvis",4795
"- Malignant neoplasm of bladder",4740
"- Malignant neoplasms of meninges, brain and other parts of central nervous system",7430
"- Non-Hodgkin lymphoma",8792
"- Multiple myeloma and immunoproliferative neoplasms",5707
"- Leukemia",9662
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",7166
Anemias,2862
"Diabetes mellitus",38135
"Nutritional deficiencies",7233
Obesity,3975
"Parkinson disease",13719
"Alzheimer disease",83516
"Major cardiovascular diseases",418494
"- Diseases of heart",301280
"- Essential hypertension and hypertensive renal disease",19911
"- Cerebrovascular diseases",85658
"- Atherosclerosis",2371
"- Aortic aneurysm and dissection",4088
"Influenza and pneumonia",25139
"Chronic lower respiratory diseases",83255
"Pneumonitis due to solids and liquids",8347
"Chronic liver disease and cirrhosis",16253
"- Alcoholic liver disease",7460
"Cholelithiasis and other disorders of gallbladder",1961
"Nephritis, nephrotic syndrome and nephrosis",24896
"Pregnancy, childbirth and the puerperium",1103
"Certain conditions originating in the perinatal period",4554
"Congenital malformations, deformations and chromosomal abnormalities",4638
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",16721
"Accidents (unintentional injuries)",60320
"- Motor vehicle accidents",11272
"- Falls",19355
"- Accidental discharge of firearms",50
"- Accidental drowning and submersion",908
"- Accidental hanging, strangulation, and suffocation",2952
"- Accidental exposure to smoke, fire and flames",1079
"- Accidental poisoning and exposure to noxious substances",19604
"Intentional self–harm (suicide)",10255
"- Intentional self–harm (suicide) by poisoning",3079
"- Intentional self–harm (suicide) by hanging, strangulation and suffocation",2971
"- Intentional self–harm (suicide) by discharge of firearms",3216
"Assault (homicide)",3877
"- Assault (homicide) by discharge of firearms",2287
"Legal intervention",39
"Complications of medical and surgical care",2466
"Dementia-related causes",181390
"Drug-induced deaths",24118
"- Drug overdose deaths",22749
"Alcohol-induced deaths",11122
"Injury by firearms",5666
