Age,"Urban areas more than 1000000 persons : Mean","Urban areas more than 1000000 persons : standard error","Urban areas more than 1000000 persons : standard deviation","Urban areas less than 1000000 persons : Mean","Urban areas less than 1000000 persons : standard error","Urban areas less than 1000000 persons : standard deviation","Urban not in urbanized area : Mean","Urban not in urbanized area : standard error","Urban not in urbanized area : standard deviation","Rural area : Mean","Rural area : standard error","Rural area : standard deviation"
"7-74 years",77.1,0.32,13.8,77.7,0.89,13.8,77.6,0.37,13.3,78.6,0.4,13.7
"7-11 years",63.4,0.49,9.3,64,1.51,10.3,64.7,0.97,9.8,66.4,0.92,9.7
"12-17 years",69.1,0.57,9.6,69.9,1.09,9.6,70,0.63,9.8,70.2,0.62,10.3
"18-24 years",73.8,0.63,10,73.5,0.99,11,73.5,0.64,9.9,74.3,0.59,10.6
"25-34 years",76.6,0.65,11,78.3,0.5,10.7,76.5,0.74,10.9,79.1,0.42,10.8
"35-44 years",81.4,0.71,12.6,84.5,0.83,12.8,80.8,0.53,10.2,82.6,0.55,12.1
"45-54 years",84.9,0.7,13.5,85.6,1.66,13.8,85.1,1.18,12.9,86.6,0.88,13.8
"55-64 years",86.9,0.84,13,85.4,1.21,12.1,87.2,1.44,12.1,87.4,0.86,12.5
"65-74 years",86,0.58,12.5,84.5,1.01,13.3,85.4,1.18,13.7,86.4,0.64,12.8
"Age-adjusted value",77.2,,,77.8,,,77.3,,,78.6,,
