"Cause of death","Both sexes",Male,Female
"All causes",715.2,846.7,602.7
"Enterocolitis due to Clostridium difficile",1.1,1.1,1.1
Septicemia,9.5,10.7,8.6
"Viral hepatitis",1,1.4,0.7
"Human immunodeficiency virus (HIV) disease",1.4,2.1,0.7
"Malignant neoplasms",146.2,172.9,126.2
"Malignant neoplasms of lip, oral cavity and pharynx",2.5,3.9,1.4
"Malignant neoplasm of esophagus",3.8,6.8,1.4
"Malignant neoplasm of stomach",2.8,3.7,2
"Malignant neoplasms of colon, rectum and anus",13.1,15.5,11.1
"Malignant neoplasms of liver and intrahepatic bile ducts",6.6,9.6,4.1
"Malignant neoplasm of pancreas",11,12.7,9.6
"Malignant neoplasms of trachea, bronchus and lung",33.4,40.1,28.2
"Malignant melanoma of skin",2,3,1.3
"Malignant neoplasm of breast",10.7,0.2,19.4
"Malignant neoplasm of cervix uteri",1.1,…,2.1
"Malignant neoplasm of ovary",3.3,…,6
"Malignant neoplasm of prostate",7.7,18.3,…
"Malignant neoplasms of kidney and renal pelvis",3.4,5,2.1
"Malignant neoplasm of bladder",4.1,7,2
"Malignant neoplasms of meninges, brain and other parts of central nervous system",4.3,5.3,3.5
"Non-Hodgkin lymphoma",5,6.5,3.8
"Multiple myeloma and immunoproliferative neoplasms",3.1,4,2.5
Leukemia,5.8,7.7,4.3
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",3.9,4.9,3.1
Anemias,1.3,1.4,1.3
"Diabetes mellitus",21.6,27.3,16.9
"Nutritional deficiencies",2.8,2.6,2.9
Obesity,2.2,2.5,2
"Parkinson disease",8.8,13.1,5.8
"Alzheimer disease",29.8,23.9,33.6
"Major cardiovascular diseases",213.4,259.1,175.3
"Diseases of heart",161.5,204.8,126.2
"Essential hypertension and hypertensive renal disease",8.9,9.5,8.3
"Cerebrovascular diseases",37,37.6,35.8
Atherosclerosis,1.1,1.2,0.9
"Aortic aneurysm and dissection",2.5,3.3,1.8
"Influenza and pneumonia",12.3,14.4,10.7
"Chronic lower respiratory diseases",38.2,41.6,35.7
"Pneumonitis due to solids and liquids",4.7,6.5,3.5
"Chronic liver disease and cirrhosis",11.3,15.1,8
"Alcoholic liver disease",6.4,9,3.9
"Cholelithiasis and other disorders of gallbladder",0.9,1.1,0.8
"Nephritis, nephrotic syndrome and nephrosis",12.7,15.4,10.7
"Pregnancy, childbirth and the puerperium",0.4,…,0.7
"Certain conditions originating in the perinatal period",3.8,4.2,3.4
"Congenital malformations, deformations and chromosomal abnormalities",3.1,3.3,2.9
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",8.5,9.3,7.6
"Accidents (unintentional injuries)",49.3,68.3,31.3
"Motor vehicle accidents",11.5,16.7,6.5
Falls,9.8,12,8
"Accidental discharge of firearms",0.2,0.3,0
"Accidental drowning and submersion",1.1,1.7,0.5
"Accidental hanging, strangulation, and suffocation",1.9,2.5,1.5
"Accidental exposure to smoke, fire and flames",0.7,0.9,0.5
"Accidental poisoning and exposure to noxious substances",20.2,28.6,11.9
"Intentional self-harm (suicide)",13.9,22.4,6
"Intentional self-harm (suicide) by poisoning",1.8,1.8,1.7
"Intentional self-harm (suicide) by hanging, strangulation and suffocation",4.2,6.6,1.8
"Intentional self-harm (suicide) by discharge of firearms",6.8,12.3,1.8
"Assault (homicide)",6,9.6,2.4
"Assault (homicide) by discharge of firearms",4.6,7.7,1.4
"Legal intervention",0.2,0.4,0
"Complications of medical and surgical care",1.3,1.6,1.1
"Dementia-related causes5",66.6,56.6,72.6
"Drug-induced deaths5",22.8,31.1,14.5
"Drug overdose deaths5",21.6,29.6,13.7
"Alcohol-induced deaths5",10.4,15.2,5.9
"Injury by firearms5",11.9,20.7,3.4
