"Primary diagnosis","Percent distribution","Standard error of percent"
"All female visits, age 65 years and over",60.1,0.8
"Chest pain",3.3,0.3
"Contusion with intact skin surface",3.1,0.4
"Heart disease, excluding ischemic ",3,0.3
"Urinary tract infection, site not specified",2.2,0.3
"Abdominal pain",1.8,0.2
"Fractures, excluding lower limb",1.7,0.2
"Cerebrovascular disease",1.5,0.2
"Fracture of the lower limb",1.3,0.2
Pneumonia,1.3,0.2
"Spinal disorders",1.3,0.2
"All other diagnoses",39.5,0.9
