| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.18           |
| 3     | 0.17           |
| 4     | 0.18           |
| 5     | 0.19           |
| 6     | 0.29           |
| 7     | 0.33           |
| 8     | 0.38           |
| 9     | 0.32           |
| 10    | 0.35           |
| 11    | 0.36           |
| 12    | 0.48           |
| 13    | 0.43           |
| 14    | 0.44           |
| 15    | 0.44           |
| 16    | 0.42           |
| 17    | 0.39           |
| 18    | 0.49           |
| 19    | 0.54           |
| 20+   | 0.07           |
| 20–29 | 0.14           |
| 30–39 | 0.13           |
| 40–49 | 0.17           |
| 50–59 | 0.2            |
| 60–69 | 0.19           |
| 70–79 | 0.22           |
| 80+   | 0.27           |
