"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",160341,100,431.6
"Malignant neoplasms",48034,30,129.3
"Diseases of heart",35480,22.1,95.5
"Accidents (unintentional injuries)",12278,7.7,33
"Chronic liver disease and cirrhosis",6654,4.1,17.9
"Cerebrovascular diseases",6011,3.7,16.2
"Intentional self-harm (suicide)",5437,3.4,14.6
"Diabetes mellitus",4954,3.1,13.3
"Human immunodeficiency virus (HIV) disease.",4142,2.6,11.1
"Chronic lower respiratory diseases",3251,2,8.8
"Viral hepatitis",1894,1.2,5.1
"All other causes",32206,20.1,86.7
