"Systolic blood pressure (mm. Hg) ",Total,"Under 70",70-79,80-89,90-99,100-109,110-119,120-129,"130 and over",
Total,100,3.5,22.7,32.8,24,12,2.9,1.2,0.9,
"Under 100",1.1,0.3,0.8,,,,,,,
100-109,3.1,0.9,1.7,0.5,,,,,,
110-119,11.2,0.6,7.6,3,,,,,,
120-129,12,0.5,4.5,5.8,1.2,,,,,
130-139,17.8,0.8,5,8.6,3.1,0.3,,,,
140-149,15,0.1,0.8,6.8,6.3,0.8,0.2,,,
150-159,12.4,0.2,0.8,3,6.1,1.8,0.5,,,
160-169,10.1,0.1,0.3,3.1,2.4,4,0.2,0,,
170-179,7.6,,0.5,1.6,2.2,2.7,0.6,,,
180-189,4.1,,0.5,0.3,1.6,1,0.5,0.2,,
190-199,1.5,,0.2,,0.5,0.6,0.1,,0.1,
200-209,1.4,,,0.1,0.1,0.5,0.4,0.2,0.1,
210-219,1.3,,,,0.5,0.3,0.1,,0.4,
220-229,0.7,,,,,,,0.7,,
"230 and over",0.7,,,,,,0.3,0.1,0.3,
