Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",70.04,76.19,81.47,89.23,108.03,134.84,155.06,170.27,193.1
"12–15 years",131.13,146.43,159.34,177.81,212.32,250.25,273.41,287.8,316.48
"16–19 years",164.59,179.56,192.71,210.5,242.82,285.8,308.45,328.41,352.57
"20–29 years",169.36,183.72,194.53,210.21,244.55,278.44,303.98,317.41,336.45
"30–39 years",164.12,178.74,189.41,205.06,239.17,275.78,298.43,316.07,338.89
"40–49 years",156.24,172.99,181.19,195.3,228.09,268.95,295.92,314.7,339.97
"50–59 years",135.63,149.17,157.61,173.37,203.8,241.53,266.47,281.04,314.78
"60–69 years",119.23,132.31,143.35,156.89,187.44,220.9,243.42,260.76,283.33
"70–79 years",105.94,118.67,125.64,138.05,162,191.64,211.43,227.53,248.53
"80 years and over",84.01,95.84,103.64,117.38,141.77,168.03,185.56,196.6,214.4
