"Drug name","Percent of mentions","Standard error of percent"
"All drug mentions",2.7,0.4
Ibuprofen,0.2,0
Acetaminophen-hydrocodone,0.1,0
Acetaminophen,0.2,0
Promethazine,0.1,0
Ketorolac,0.1,0
Morphine,0.1,0
Ondansetron,0,0
Hydromorphone,0.1,0
"Sodium chloride",0.1,0
Acetaminophen-oxycodone,*0.0,0
Albuterol,*0.1,0
Azithromycin,*0.0,0
Amoxicillin,*0.0,0
Aspirin,0.1,0
Ceftriaxone,*0.0,0
Cephalexin,0,0
Sulfamethoxazole-trimethoprim,*0.0,0
Diphenhydramine,0,0
Lorazepam,*0.0,0
Levofloxacin,*0.0,0
"All other",1.4,0.3
