Age,"Sample size",Mean,"Standard error",Median
"All ages",13923,13.6,0.15,11.4
"2–11 months",815,6,0.11,5.7
"1–2 years",1171,7,0.13,6.6
"3–5 years",1424,8.3,0.16,7.5
"6–11 years",1581,10.8,0.26,9.8
"12–15 years",751,13.8,0.93,10.9
"16–19 years",711,16.1,0.64,13.5
"20–29 years",1587,15.4,0.34,13.7
"30–39 years",1424,15.6,0.36,12.9
"40–49 years",1188,14,0.33,12.4
"50–59 years",820,15.1,0.6,12.6
"60–69 years",1111,12.9,0.38,10.9
"70–79 years",783,12.7,1.01,9.7
"80 years and over",557,11.2,0.44,9.3
