Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",197.16,208.58,216.85,228.72,251.23,280.85,295.46,308.3,326.78
"12–15 years",261.72,274.9,284.86,297.93,323.33,350.65,365.09,374.2,387.14
"16–19 years",281.94,294.02,302.98,314.44,337.74,363.87,377.91,388.38,404.36
"20–29 years",285.32,297.38,306.82,318.19,342.02,366.42,379.04,388.43,403.83
"30–39 years",292.04,302.35,309.84,321.14,341.56,368.27,381.6,392.07,407.81
"40–49 years",289.6,302.25,310.41,322.54,345.98,370,382.3,392.47,407.31
"50–59 years",283.41,296.58,304.28,317.35,341.96,364.28,377.01,386.21,398.68
"60–69 years",279.07,292.65,302.22,314.77,341.62,366.71,378.36,387.89,400.17
"70–79 years",257.75,279.43,288.48,304.39,329.13,354.05,367.19,376.75,391.47
"80 years and over",234,253.54,264.75,281.93,310.48,340.26,349.61,359.67,370.49
