Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",196.82,207.21,213,221.81,243.64,269.58,285.75,305.32,327.93
"12–15 years",259.38,274.66,284.55,306.99,353.8,398.29,418.96,431.36,447.87
"16–19 years",331.77,347.16,358.25,373.18,404.66,434.53,455,467.14,481.05
"20–29 years",337.43,353.26,364.78,380,408.11,438.94,453.83,469.93,488.93
"30–39 years",336.77,352.03,362.23,376.67,406.44,438.36,454.76,467.6,484.85
"40–49 years",347.64,362.11,371.92,385.92,413.93,440.52,454.91,466.35,482.67
"50–59 years",342.15,358.48,367.03,381.2,409.42,437.89,452.95,464.77,480.81
"60–69 years",334.89,355.7,365.25,380.27,407.89,436.16,453.11,462.4,478.81
"70–79 years",331.99,345.47,357.08,371.65,400.13,430.93,446.79,457.21,469.16
"80 years and over",318.19,332.78,343.46,357.84,385.88,414.46,426.61,438.78,454.58
