"Cause of death (male, Postneonates)",Number,"Percent of total deaths","Death rate"
"All causes",3990,100,208.1
"Accidents (unintentional injuries)",674,16.9,35.2
"Sudden infant death syndrome",645,16.2,33.6
"Congenital malformations, deformations and chromosomal abnormalities",628,15.7,32.8
"Diseases of the circulatory system",177,4.4,9.2
"Assault (homicide)",148,3.7,7.7
"Diarrhea and gastroenteritis of infectious origin",97,2.4,5.1
"Influenza and pneumonia",91,2.3,4.7
"Chronic respiratory disease originating in the perinatal period",86,2.2,4.5
Septicemia,67,1.7,3.5
"Disorders related to short gestation and low birth weight, not elsewhere classified",37,0.9,1.9
"All other causes",1340,33.6,69.9
