"Cause of death (male, Neonates)",Number,"Percent of total deaths","Death rate"
"All causes",7684,100,400.7
"Disorders related to short gestation and low birth weight, not elsewhere classified",1927,25.1,100.5
"Congenital malformations, deformations and chromosomal abnormalities",1620,21.1,84.5
"Newborn affected by maternal complications of pregnancy",703,9.1,36.7
"Newborn affected by complications of placenta, cord and membranes",400,5.2,20.9
"Bacterial sepsis of newborn",329,4.3,17.2
"Respiratory distress of newborn",242,3.1,12.6
"Neonatal hemorrhage",184,2.4,9.6
"Intrauterine hypoxia and birth asphyxia",171,2.2,8.9
"Necrotizing enterocolitis of newborn",164,2.1,8.6
Atelectasis,137,1.8,7.1
"All other causes",1807,23.5,94.2
