"Cause of death (male, all ages)",Number,"Percent of total deaths","Death rate"
"All causes",1473823,100,911.7
"Diseases of heart",357761,24.3,221.3
"Malignant neoplasms",315876,21.4,195.4
"Accidents (unintentional injuries)",112720,7.6,69.7
"Chronic lower respiratory diseases",73724,5,45.6
"Cerebrovascular diseases",64347,4.4,39.8
"Diabetes mellitus",49512,3.4,30.6
"Alzheimer disease",37983,2.6,23.5
"Intentional self-harm (suicide)",37256,2.5,23
"Chronic liver disease and cirrhosis",28105,1.9,17.4
"Nephritis, nephrotic syndrome and nephrosis",26669,1.8,16.5
"All other causes",369870,25.1,228.8
