"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",97525,100,777.7
"Malignant neoplasms",40578,41.6,323.6
"Diseases of heart",20114,20.6,160.4
"Chronic lower respiratory diseases",5175,5.3,41.3
"Cerebrovascular diseases",4460,4.6,35.6
"Diabetes mellitus",4243,4.4,33.8
"Accidents (unintentional injuries)",2372,2.4,18.9
"Chronic liver disease and cirrhosis",1769,1.8,14.1
"Nephritis, nephrotic syndrome and nephrosis",1449,1.5,11.6
Septicemia,1386,1.4,11.1
"Influenza and pneumonia",1199,1.2,9.6
"All other causes",14780,15.2,117.9
