Activities,"Average hours per day spent, with presence of household children","Average hours per day spent, with presence of household children under 6","Average hours per day spent, with presence of household children 6 to 17","Average hours per day spent, with absence of household children"
"Total, all activities",24,24,24,24
"Personal care activities",9.34,9.23,9.42,9.68
"– Sleeping",8.62,8.56,8.66,8.88
"Eating and drinking",1.14,1.1,1.17,1.21
"Household activities",1.85,2,1.74,1.85
"– Housework",0.61,0.68,0.56,0.52
"– Food preparation and cleanup",0.75,0.85,0.68,0.55
"– Lawn and garden care",0.12,0.1,0.13,0.22
"– Household management",0.12,0.12,0.12,0.17
"Purchasing goods and services",0.72,0.57,0.83,0.8
"– Consumer goods purchases",0.35,0.28,0.4,0.37
"– Professional and personal care services",0.07,0.05,0.07,0.11
"Caring for and helping household members",1.41,2.24,0.83,0.06
"– Caring for and helping household children",1.16,1.97,0.58,–
"Caring for and helping nonhousehold members",0.11,0.1,0.11,0.24
"– Caring for and helping nonhousehold adults",0.05,0.06,0.05,0.07
"Working and work-related activities",4.43,4.12,4.66,3.43
"– Working",4.03,3.77,4.2,3.11
"Educational activities",0.29,0.19,0.36,0.24
"– Attending class",0.12,0.07,0.15,0.08
"– Homework and research",0.15,0.11,0.18,0.15
"Organizational, civic, and religious activities",0.29,0.23,0.33,0.31
"– Religious and spiritual activities",0.13,0.12,0.14,0.14
"– Volunteering (organizational and civic activities)",0.12,0.08,0.14,0.14
"Leisure and sports",4.02,3.8,4.17,5.76
"– Socializing and communicating",0.63,0.65,0.62,0.63
"– Watching television",2.05,1.89,2.16,3.27
"– Participating in sports, exercise, and recreation",0.26,0.26,0.25,0.3
"Telephone calls, mail, and e-mail",0.11,0.09,0.12,0.17
"Other activities, not elsewhere classified",0.29,0.32,0.26,0.26
