Age,"Sample size",Mean,"Standard error",Median
"All ages",15182,1077,8.7,1003
"2–11 months",805,579,15.5,503
"1–2 years",1139,911,13.4,867
"3–5 years",1517,1008,20.6,954
"6–11 years",1553,1141,17,1068
"12–15 years",848,1143,36,1054
"16–19 years",811,1132,33.6,1056
"20–29 years",1813,1142,21.8,1059
"30–39 years",1814,1156,18.7,1067
"40–49 years",1315,1071,21.1,1021
"50–59 years",979,1016,22.3,958
"60–69 years",1097,1008,21.5,931
"70–79 years",895,972,17.6,896
"80 years and over",596,939,23.5,871
