"Table 3. Rate of ambulatory care visits by setting type and selected patient and provider characteristics: United States, 2007",,
,,
All,,
,,
"Setting type","Number of visits per 100 persons","Standard error of rate"
"Combined settings",405,14.5
"Primary care offices",194.6,10.3
"Surgical specialty offices",66.4,4.6
"Medical specialty offices",74.6,4.4
"Hospital outpatient departments",30,3.3
"Hospital emergency departments",39.4,2.2
,,
"Combined settings",,
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"Under 15 years",338.2,19.3
"Under 1 year",895.1,68.1
"1–4 years",420.4,28.6
"5–14 years",245.4,13.4
"15–24 years",267.9,10.5
"25–44 years",317.5,13.9
"45–64 years",439.3,19.1
"65 years and over",799.2,42.7
"65–74 years",745.9,40.1
"75 years and over",858.6,49
,,
"Primary care offices",,
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"Under 15 years",232.9,18
"Under 1 year",682.1,65.7
"1–4 years",305.8,28
"5–14 years",155.4,11.5
"15–24 years",134.6,8.6
"25–44 years",160.5,11
"45–64 years",183.6,13
"65 years and over",299,27.1
"65–74 years",284.9,26.2
"75 years and over",314.7,31.1
,,
"Surgical specialty offices",,
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"Under 15 years",21.8,3
"Under 1 year",32.1,8.2
"1–4 years",22.4,4.3
"5–14 years",20.5,2.7
"15–24 years",27.2,2.5
"25–44 years",35,3
"45–64 years",90.3,6.5
"65 years and over",206.4,17.7
"65–74 years",190.8,15.7
"75 years and over",223.9,21.2
,,
"Medical specialty offices",,
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"Under 15 years",20.5,3.8
"Under 1 year",*,-
"1–4 years",13.1,3.5
"5–14 years",23.9,4.3
"15–24 years",34.8,2.9
"25–44 years",53.3,3.8
"45–64 years",99.4,6.7
"65 years and over",207,16.6
"65–74 years",193.2,15.2
"75 years and over",222.3,19.6
,,
"Hospital outpatient departments",,
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"Under 15 years",26.3,3.5
"Under 1 year",74.9,10.3
