"Table 7. Annual number and percent distribution of ambulatory care visits, by setting type according to diagnosis group: United States, 2006–2007",
,
"Combined settings",
,
"Diagnosis group","Number of visits in thousands"
"All visits",1161685
"Infectious and parasitic diseases",29807
"Streptococcal sore throat",4911
"Human immunodeficiency virus disease (HIV)",1209
"Viral warts",2723
"Unspecified viral and chlamydial infection",6152
Dermatophytosis,2277
Candidiasis,1641
"Other infectious and parasitic diseases",10895
Neoplasms,36768
"Malignant neoplasms of colon and rectum",2388
"Malignant neoplasm of skin",4577
"Malignant neoplasm of breast",4600
"Malignant neoplasm of prostate",3248
"Malignant neoplasm of lymphatic and hematopoietic tissue",3051
"Other malignant neoplasms",8487
"Benign neoplasm of skin",2939
"Other benign neoplasm",5034
"Neoplasm of uncertain behavior and unspecified nature",2443
"Endocrine, nutritional and metabolic diseases, and immunity disorders",56588
"Acquired hypothyroidism",3501
"Other disorders of thyroid gland",1812
"Diabetes mellitus",28122
"Disorders of lipoid metabolism",10688
Obesity,5700
"Other endocrine, nutritional and metabolic diseases, and immunity disorders",6766
"Diseases of the blood and blood-forming organs",7239
Anemias,5270
"Other diseases of the blood and blood-forming organs",1969
"Mental disorders",58176
"Schizophrenic disorders",2479
"Major depressive disorder",7908
"Other psychoses",9485
"Anxiety states",7078
"Neurotic depression",4080
"Alcohol dependence syndrome",538
"Drug dependence and nondependent abuse of drugs",2878
"Acute reaction to stress and adjustment reaction",2928
"Depressive disorder, not elsewhere classified",8676
"Attention deficit disorder",7304
"Other mental disorders",4822
"Diseases of the nervous system and sense organs",103264
Migraine,5919
"Other disorders of the central nervous system",12346
"Carpal tunnel syndrome",2354
"Other disorders of the peripheral nervous system",3605
"Retinal detachment and other retinal disorders",5225
Glaucoma,10158
Cataract,10257
"Disorders of refraction and accommodation",3113
Conjunctivitis,5734
"Disorder of eyelids",2828
"Other disorders of the eye and adnexa",12309
"Disorders of external ear",5106
"Otitis media and eustachian tube disorders",17623
"Other disorders of the ear and mastoid process",6689
"Diseases of the circulatory system",87418
"Angina pectoris",850
"Coronary atherosclerosis",9833
"Other ischemic heart disease",2357
"Cardiac dysrhythmias",7388
"Congestive heart failure",3191
"Other heart disease",5751
"Essential hypertension",43413
"Cerebrovascular disease",3328
"Diseases of the arteries, arterioles and capillaries",2958
Hemorrhoids,1999
"Other diseases of the circulatory system",6350
"Diseases of the respiratory system",127064
"Acute sinusitis",4404
"Acute pharyngitis",12037
"Acute tonsillitis",2107
"Acute bronchitis and bronchiolitis",4706
"Other acute respiratory infections",28093
"Chronic sinusitis",13750
"Allergic rhinitis",13255
Pneumonia,4487
"Chronic and unspecified bronchitis",11666
Asthma,15154
"Other chronic obstructive pulmonary disease and allied conditions",6130
"Other diseases of the respiratory system",11275
"Diseases of the digestive system",44109
"Diseases of the teeth and supporting structures",3651
"Gastritis and duodenitis",2765
Esophagitis,508
"Ulcer of stomach and small intestine",*669
"Hernia of abdominal cavity",3770
"Noninfectious enteritis and colitis",6101
"Diverticula of intestine",1992
Constipation,3074
"Irritable bowel syndrome",1262
