"Table 1. Ambulatory care visits by setting type, according to selected patient and provider characteristics: United States, 2007",
,
"Setting type","Number of visits in thousands"
"Combined settings",1200017
"Primary care offices",576650
"Surgical specialty offices",196598
"Medical specialty offices",221073
"Hospital outpatient departments",88894
"Hospital emergency departments",116802
,
"Combined settings",
,
"Patient age","Number of visits in thousands"
"All ages",1200017
"Under 15 years",205765
"Under 1 year",38072
"1–4 years",69220
"5–14 years",98473
"15–24 years",111171
"25–44 years",259318
"45–64 years",334088
"65 years and over",289675
"65–74 years",142528
"75 years and over",147147
,
"Primary care offices",
,
"Patient age","Number of visits in thousands"
"All ages",576650
"Under 15 years",141716
"Under 1 year",29014
"1–4 years",50346
"5–14 years",62356
"15–24 years",55852
"25–44 years",131076
"45–64 years",139637
"65 years and over",108369
"65–74 years",54431
"75 years and over",53938
,
"Surgical specialty offices",
,
"Patient age","Number of visits in thousands"
"All ages",196598
"Under 15 years",13274
"Under 1 year",1367
"1–4 years",3682
"5–14 years",8225
"15–24 years",11269
"25–44 years",28591
"45–64 years",68647
"65 years and over",74816
"65–74 years",36449
"75 years and over",38367
,
"Medical specialty offices",
,
"Patient age","Number of visits in thousands"
"All ages",221073
"Under 15 years",12491
"Under 1 year",*
"1–4 years",2162
"5–14 years",9591
"15–24 years",14453
"25–44 years",43494
"45–64 years",75606
"65 years and over",75029
"65–74 years",36925
"75 years and over",38104
,
"Hospital outpatient departments",
,
"Patient age","Number of visits in thousands"
"Hospital outpatient departments",88894
"Under 15 years",15976
"Under 1 year",3187
"1–4 years",4689
"5–14 years",8099
"15–24 years",10613
"25–44 years",22672
"45–64 years",25707
"65 years and over",13926
"65–74 years",7815
"75 years and over",6111
,
"Hospital emergency departments",
,
"Patient age","Number of visits in thousands"
"Hospital emergency departments",116802
"Under 15 years",22308
"Under 1 year",3766
"1–4 years",8340
"5–14 years",10202
"15–24 years",18983
"25–44 years",33485
"45–64 years",24491
"65 years and over",17535
"65–74 years",6908
"75 years and over",10627
,
"Combined settings",
,
"Patient sex","Number of visits in thousands"
Female,699206
Male,500811
,
"Primary care offices",
,
"Patient sex","Number of visits in thousands"
Female,354044
Male,222606
,
"Surgical specialty offices",
,
"Patient sex","Number of visits in thousands"
Female,104025
Male,92573
,
"Medical specialty offices",
,
"Patient sex","Number of visits in thousands"
Female,122472
Male,98601
,
"Hospital outpatient departments",
,
"Patient sex","Number of visits in thousands"
Female,55494
Male,33400
,
"Hospital emergency departments",
,
"Patient sex","Number of visits in thousands"
Female,63170
Male,53632
,
"Combined settings",
,
"Expected source(s) of payment1","Number of visits in thousands"
"Private insurance",721961
Medicare,274927
"Medicare and Medicaid",23613
"Medicaid or SCHIP",181232
"No insurance",74896
Self-pay,68159
"No charge or charity",7529
"Worker’s compensation",15208
Other,34891
"Unknown or blank",54298
,
"Primary care offices",
,
"Expected source(s) of payment1","Number of visits in thousands"
"Private insurance",375919
Medicare,101118
"Medicare and Medicaid",8349
"Medicaid or SCHIP",88685
"No insurance",28230
Self-pay,26306
"No charge or charity","*2,299"
"Worker’s compensation",1920
Other,14657
"Unknown or blank",24571
,
"Surgical specialty offices",
,
