"Table 8. Injury visits by patient age and sex, according to ambulatory care setting: United States, 2007",,,,,,
,,,,,,
"Percent distribution",,,,,,
,,,,,,
"Patient age",Total,"Primary care",Surgical,Medical,"Hospital outpatient",Emergency
"All visits",100,28.8,21.7,17.4,7,25.1
"Under 15 years",100,40.7,15.1,*,6.7,32.2
"15–24 years",100,28.5,20.9,8.1,8.1,34.4
"25–44 years",100,27.5,19.6,14.7,8.7,29.5
"45–64 years",100,24.5,27.8,21.1,7.5,19
"65–74 years",100,31.5,22.7,29.4,4,12.4
"75 years and over",100,24.2,19.7,31.8,3.4,20.9
,,,,,,
"Patient age",Total,"Primary care",Surgical,Medical,"Hospital outpatient",Emergency
"All female visits",100,30.9,21,17.2,7,23.9
"Under 15 years",100,42.4,*13.0,*,7.2,32.5
"15–24 years",100,32,13.6,*,8.6,39
"25–44 years",100,30.2,17.9,16.6,8.5,26.7
"45–64 years",100,27.8,26.5,20.3,7.7,17.8
"65–74 years",100,32.1,28.4,23.4,3.8,12.2
"75 years and over",100,26.2,21.4,26.2,3.8,22.4
,,,,,,
"Patient age",Total,"Primary care",Surgical,Medical,"Hospital outpatient",Emergency
"All male visits",100,26.7,22.4,17.6,7,26.3
"Under 15 years",100,39.6,16.7,*,6.3,32
"15–24 years",100,26.2,25.5,*8.9,7.9,31.5
"25–44 years",100,24.8,21.2,12.9,8.9,32.2
"45–64 years",100,20.9,29.3,22.1,7.3,20.4
"65–74 years",100,30.8,15.7,36.8,4.1,12.7
"75 years and over",100,*,16.8,41.1,*2.8,18.5
,,,,,,
,,,,,,
"Standard error of percent",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Patient age","Primary care",Surgical,Medical,"Hospital outpatient",Emergency,
"All visits",1.8,2,1.9,0.9,1.4,
"Under 15 years",3.4,3,-,1.2,2.5,
"15–24 years",3.2,2.9,1.9,1.3,2.1,
"25–44 years",2.5,2.4,2.3,1.4,2.1,
"45–64 years",2.3,3,2.4,1,1.3,
"65–74 years",3.1,3.1,3.6,0.8,1.3,
"75 years and over",3.7,2.7,4.1,0.7,1.9,
,,,,,,
"Patient age","Primary care",Surgical,Medical,"Hospital outpatient",Emergency,
"All female visits",1.9,2,1.7,0.9,1.4,
"Under 15 years",4.5,4.2,-,1.4,3.1,
"15–24 years",4.2,2.5,-,1.5,3,
"25–44 years",2.7,2.7,2.4,1.4,2,
"45–64 years",2.8,3.2,2.6,1.2,1.5,
"65–74 years",4.4,4.1,3.7,0.8,1.5,
"75 years and over",4.2,3.2,4,0.8,2.1,
,,,,,,
"Patient age","Primary care",Surgical,Medical,"Hospital outpatient",Emergency,
"All male visits",2.1,2.1,2.4,0.9,1.5,
"Under 15 years",3.8,3.1,-,1.2,2.8,
"15–24 years",3.9,3.9,3,1.4,2.5,
"25–44 years",3.4,2.6,3,1.5,2.6,
"45–64 years",2.7,3.5,3.2,1.1,1.5,
"65–74 years",4.4,2.9,4.8,1,1.6,
"75 years and over",-,3.5,5.3,0.9,2.2,
