"Table 11. Therapeutic categories for drugs provided, prescribed, or continued at ambulatory care visits, with percent distribution by setting type: United States, 2007",,,,,,,,,,,
,,,,,,,,,,,
"Combined settings",,,,,,,,,,,
,,,,,,,,,,,
"Therapeutic drug category","Number of occurrences in thousands","Standard error in thousands",,,,,,,,,
"All occurrences",3040323,138837,,,,,,,,,
Anti-infectives,203797,8124,,,,,,,,,
Amebicides,4308,498,,,,,,,,,
Antifungals,6625,598,,,,,,,,,
"Azole antifungals",6043,566,,,,,,,,,
"Miscellaneous antifungals",443,114,,,,,,,,,
"Antimalarial agents",10145,1086,,,,,,,,,
"Antimalarial quinolines",3876,787,,,,,,,,,
"Miscellaneous antimalarials",6187,705,,,,,,,,,
"Antituberculosis agents",*866,263,,,,,,,,,
"Nicotinic acid derivatives",*362,161,,,,,,,,,
"Rifamycin derivatives",*420,126,,,,,,,,,
"Antiviral agents",10100,1284,,,,,,,,,
"Protease inhibitors","*1,279",474,,,,,,,,,
NRTIs,*766,232,,,,,,,,,
NNRTIs,*183,83,,,,,,,,,
"Adamantane antivirals",557,164,,,,,,,,,
"Purine nucleosides",5128,606,,,,,,,,,
"Neuraminidase inhibitors",648,191,,,,,,,,,
"Antiviral combinations",*920,359,,,,,,,,,
Cephalosporins,30232,1860,,,,,,,,,
"First generation cephalosporins",15071,1273,,,,,,,,,
"Second generation cephalosporins",3329,520,,,,,,,,,
"Third generation cephalosporins",11672,916,,,,,,,,,
"Fourth generation cephalosporins",77,19,,,,,,,,,
Leprostatics,272,79,,,,,,,,,
"Macrolide derivatives",30033,2040,,,,,,,,,
Macrolides,29967,2035,,,,,,,,,
"Miscellaneous antibiotics",25887,1783,,,,,,,,,
Penicillins,45658,3009,,,,,,,,,
"Penicillinase resistant penicillins",*323,104,,,,,,,,,
Aminopenicillins,27398,2306,,,,,,,,,
"Beta-lactamase inhibitors",14543,1207,,,,,,,,,
"Natural penicillins",3358,414,,,,,,,,,
Quinolones,30921,1762,,,,,,,,,
Sulfonamides,13978,1150,,,,,,,,,
Tetracyclines,8902,836,,,,,,,,,
"Urinary anti-infectives",3773,475,,,,,,,,,
Aminoglycosides,969,183,,,,,,,,,
"Lincomycin derivatives",4039,433,,,,,,,,,
Antineoplastics,28655,2580,,,,,,,,,
"Alkylating agents",1651,344,,,,,,,,,
Antibiotics/antineoplastics,396,92,,,,,,,,,
Antimetabolites,7073,1349,,,,,,,,,
Hormones/antineoplastics,12416,916,,,,,,,,,
"Miscellaneous antineoplastics",3119,390,,,,,,,,,
"Mitotic inhibitors",1298,274,,,,,,,,,
"Antineoplastic monoclonal antibodies",2017,418,,,,,,,,,
"Tyrosine kinase inhibitors",644,175,,,,,,,,,
Biologicals,4242,853,,,,,,,,,
"Colony stimulating factors",823,211,,,,,,,,,
"Recombinant human erythropoietins",2705,667,,,,,,,,,
"Cardiovascular agents",414246,25003,,,,,,,,,
"Angiotensin converting enzyme inhibitors",68635,4276,,,,,,,,,
"Antiadrenergic agents, peripherally acting",17238,1447,,,,,,,,,
"Antiadrenergic agents, centrally acting",6373,518,,,,,,,,,
"Antianginal agents",10659,988,,,,,,,,,
"Antiarrhythmic agents",16855,1866,,,,,,,,,
"Beta-adrenergic blocking agents",87765,6442,,,,,,,,,
"Cardioselective beta blockers",67720,4873,,,,,,,,,
"Non-cardioselective beta blockers",20045,2093,,,,,,,,,
"Calcium channel blocking agents",41164,2747,,,,,,,,,
Diuretics,73450,5272,,,,,,,,,
"Loop diuretics",33848,2687,,,,,,,,,
"Potassium-sparing diuretics",7426,834,,,,,,,,,
"Thiazide diuretics",31387,2424,,,,,,,,,
"Carbonic anhydrase inhibitors",584,154,,,,,,,,,
"Inotropic agents",9373,1124,,,,,,,,,
"Miscellaneous cardiovascular agents",804,166,,,,,,,,,
Vasodilators,11627,960,,,,,,,,,
Vasopressors,4572,1206,,,,,,,,,
"Antihypertensive combinations",35560,2937,,,,,,,,,
"Angiotensin II inhibitors",36385,2676,,,,,,,,,
"Agents for pulmonary hypertension",3504,526,,,,,,,,,
"Aldosterone receptor antagonists",5498,656,,,,,,,,,
"Central nervous system agents",609893,30557,,,,,,,,,
Analgesics,353057,18682,,,,,,,,,
"Miscellaneous analgesics",46574,2907,,,,,,,,,
"Narcotic analgesics",40240,3175,,,,,,,,,
"Nonsteroidal anti-inflammatory agents",98039,5543,,,,,,,,,
Salicylates,65446,5325,,,,,,,,,
"Analgesic combinations",6659,762,,,,,,,,,
"Narcotic analgesic combinations",76396,5344,,,,,,,,,
"Antimigraine agents",7553,853,,,,,,,,,
"Cox-2 inhibitors",12149,1240,,,,,,,,,
Anticonvulsants,80130,5006,,,,,,,,,
"Hydantoin anticonvulsants",3655,445,,,,,,,,,
"Barbiturate anticonvulsants",1289,237,,,,,,,,,
"Benzodiazepine anticonvulsants",35536,2617,,,,,,,,,
"Miscellaneous anticonvulsants",*568,193,,,,,,,,,
"Dibenzazepine anticonvulsants",3287,422,,,,,,,,,
"Fatty acid derivative anticonvulsants",3854,410,,,,,,,,,
"Gamma-aminobutyric acid analogs",18667,1547,,,,,,,,,
"Triazine anticonvulsants",5069,643,,,,,,,,,
"Pyrrolidine anticonvulsants",1225,173,,,,,,,,,
"Carbonic anhydrase inhibitor anticonvulsants",5593,568,,,,,,,,,
"Antiemetic/antivertigo agents",65698,3639,,,,,,,,,
"5HT3 receptor antagonists",9138,942,,,,,,,,,
"Phenothiazine antiemetics",17964,1387,,,,,,,,,
"Anticholinergic antiemetics",16015,1149,,,,,,,,,
"Miscellaneous antiemetics",22578,1835,,,,,,,,,
"Anti-Parkinson agents",18692,1199,,,,,,,,,
"Anticholinergic anti-Parkinson agents",11852,839,,,,,,,,,
"Dopaminergic anti-Parkinson agents",6814,771,,,,,,,,,
"Anxiolytics, sedatives, and hypnotics",103031,6053,,,,,,,,,
Barbiturates,844,183,,,,,,,,,
Benzodiazepines,62707,4567,,,,,,,,,
"Miscellaneous anxiolytics, sedatives and hypnotics",39375,2254,,,,,,,,,
"CNS stimulants",23057,2604,,,,,,,,,
"General anesthetics","*2,314",1427,,,,,,,,,
"Muscle relaxants",30161,2521,,,,,,,,,
"Neuromuscular blocking agents",*273,85,,,,,,,,,
"Skeletal muscle relaxants",29720,2500,,,,,,,,,
"Miscellaneous central nervous system agents",1933,386,,,,,,,,,
"Adrenal cortical steroids",54386,3533,,,,,,,,,
Glucocorticoids,51543,3330,,,,,,,,,
"Miscellaneous hormones",5401,680,,,,,,,,,
"Sex hormones",44225,2898,,,,,,,,,
Contraceptives,18958,1570,,,,,,,,,
"Androgens and anabolic steroids",1883,404,,,,,,,,,
Estrogens,13585,1423,,,,,,,,,
Gonadotropins,*165,84,,,,,,,,,
Progestins,6301,643,,,,,,,,,
"Sex hormone combinations",3919,590,,,,,,,,,
"Miscellaneous sex hormones",1472,330,,,,,,,,,
"5-alpha-reductase inhibitors",4457,575,,,,,,,,,
"Thyroid drugs",39440,2781,,,,,,,,,
Bisphosphonates,18333,1829,,,,,,,,,
"Incretin mimetics",1263,254,,,,,,,,,
"Miscellaneous agents",118440,7209,,,,,,,,,
Antidotes,1107,197,,,,,,,,,
"Chelating agents",558,153,,,,,,,,,
"Local injectable anesthetics",17402,2156,,,,,,,,,
"Miscellaneous uncategorized agents",48665,4272,,,,,,,,,
"Genitourinary tract agents",19015,1568,,,,,,,,,
"Impotence agents",6964,827,,,,,,,,,
"Urinary antispasmodics",9232,914,,,,,,,,,
"Urinary pH modifiers",634,164,,,,,,,,,
"Miscellaneous genitourinary tract agents",2186,338,,,,,,,,,
Antirheumatics,12730,2953,,,,,,,,,
Antipsoriatics,4944,1311,,,,,,,,,
"Smoking cessation agents",17757,1297,,,,,,,,,
"Nutritional products",143923,10107,,,,,,,,,
"Iron products",9334,986,,,,,,,,,
"Minerals and electrolytes",46550,3210,,,,,,,,,
"Oral nutritional supplements",620,143,,,,,,,,,
Vitamins,31921,2964,,,,,,,,,
"Vitamin and mineral combinations",31826,2881,,,,,,,,,
"Respiratory agents",257262,15160,,,,,,,,,
Antihistamines,77432,5106,,,,,,,,,
Antitussives,8384,1045,,,,,,,,,
Bronchodilators,83083,6169,,,,,,,,,
Methylxanthines,1625,388,,,,,,,,,
"Adrenergic bronchodilators",50745,3688,,,,,,,,,
"Bronchodilator combinations",22590,2220,,,,,,,,,
"Anticholinergic bronchodilators",8123,970,,,,,,,,,
Decongestants,6054,1192,,,,,,,,,
Expectorants,8555,1177,,,,,,,,,
"Miscellaneous respiratory agents",10608,980,,,,,,,,,
"Respiratory inhalant products",11558,1079,,,,,,,,,
"Inhaled corticosteroids",11241,1061,,,,,,,,,
"Antiasthmatic combinations",2984,455,,,,,,,,,
"Upper respiratory combinations",29132,2618,,,,,,,,,
"Leukotriene modifiers",19356,2331,,,,,,,,,
"Lung surfactants",*115,67,,,,,,,,,
"Topical agents",178462,12424,,,,,,,,,
"Anorectal preparations",1056,263,,,,,,,,,
"Antiseptics and germicides",2811,512,,,,,,,,,
"Dermatological agents",75101,4733,,,,,,,,,
"Topical anti-infectives",2481,406,,,,,,,,,
"Topical steroids",27393,2068,,,,,,,,,
"Topical anesthetics",1964,500,,,,,,,,,
"Miscellaneous topical agents",13420,1433,,,,,,,,,
"Topical steroids with antiinfectives",2537,472,,,,,,,,,
"Topical acne agents",9915,1157,,,,,,,,,
"Topical antipsoriatics",1225,257,,,,,,,,,
"Topical emollients",3695,576,,,,,,,,,
"Topical antibiotics",5098,602,,,,,,,,,
"Topical antifungals",7860,765,,,,,,,,,
"Topical debriding agents",*103,41,,,,,,,,,
"Mouth and throat products",1404,318,,,,,,,,,
"Ophthalmic preparations",50271,7970,,,,,,,,,
"Ophthalmic anti-infectives",3678,437,,,,,,,,,
"Ophthalmic glaucoma agents",18551,2784,,,,,,,,,
"Ophthalmic steroids",5655,1064,,,,,,,,,
"Ophthalmic steroids with anti-infectives",1144,273,,,,,,,,,
"Ophthalmic anti-inflammatory agents",2005,432,,,,,,,,,
"Ophthalmic lubricants and irrigations",936,262,,,,,,,,,
"Miscellaneous ophthalmic agents",5151,855,,,,,,,,,
"Ophthalmic antihistamines and decongestants",4190,931,,,,,,,,,
Mydriatics,"*4,276",2468,,,,,,,,,
"Ophthalmic anesthetics","*1,903",1726,,,,,,,,,
"Ophthalmic diagnostic agents","*2,242",2174,,,,,,,,,
"Otic preparations",3621,432,,,,,,,,,
"Miscellaneous otic agents",3474,429,,,,,,,,,
"Vaginal preparations",7522,816,,,,,,,,,
Spermicides,*182,138,,,,,,,,,
"Vaginal anti-infectives",7329,798,,,,,,,,,
"Nasal preparations",43545,4487,,,,,,,,,
"Nasal steroids",39059,3813,,,,,,,,,
"Nasal antihistamines and decongestants",4006,869,,,,,,,,,
"Alternative medicines",19720,2269,,,,,,,,,
"Nutraceutical products",14579,1594,,,,,,,,,
"Herbal products",4765,938,,,,,,,,,
"Psychotherapeutic agents",146056,7722,,,,,,,,,
Antidepressants,120578,6498,,,,,,,,,
"Miscellaneous antidepressants",17171,1255,,,,,,,,,
"SSRI antidepressants",60240,3281,,,,,,,,,
"Tricyclic antidepressants",11518,978,,,,,,,,,
"Phenylpiperazine antidepressants",9474,883,,,,,,,,,
"Tetracyclic antidepressants",2595,381,,,,,,,,,
"SSNRI antidepressants",19399,1607,,,,,,,,,
Antipsychotics,25477,1971,,,,,,,,,
"Miscellaneous antipsychotic agents",3390,441,,,,,,,,,
"Phenothiazine antipsychotics",2860,377,,,,,,,,,
"Atypical antipsychotics",18882,1623,,,,,,,,,
"Immunologic agents",113295,9949,,,,,,,,,
"Bacterial vaccines",21155,2246,,,,,,,,,
"Immune globulins",794,232,,,,,,,,,
Toxoids,20006,1673,,,,,,,,,
"Viral vaccines",59319,6024,,,,,,,,,
"Miscellaneous biologicals","*6,049",2718,,,,,,,,,
"Immunosuppressive agents",2363,509,,,,,,,,,
Interferons,509,113,,,,,,,,,
"Immunosuppressive monoclonal antibodies",2284,661,,,,,,,,,
"Radiologic agents",979,182,,,,,,,,,
"Radiocontrast agents",437,92,,,,,,,,,
"Non-ionic iodinated contrast media",*70,35,,,,,,,,,
"Ionic iodinated contrast media",206,54,,,,,,,,,
"Radiologic adjuncts",*454,142,,,,,,,,,
"Cardiac stressing agents",*454,142,,,,,,,,,
"Metabolic agents",235856,15452,,,,,,,,,
"Antihyperlipidemic agents",134452,9235,,,,,,,,,
"HMG-CoA reductase inhibitors",95408,6400,,,,,,,,,
"Miscellaneous antihyperlipidemic agents",5125,648,,,,,,,,,
"Fibric acid derivatives",8983,825,,,,,,,,,
"Bile acid sequestrants",626,144,,,,,,,,,
"Cholesterol absorption inhibitors",9434,999,,,,,,,,,
"Antihyperlipidemic combinations",14877,1575,,,,,,,,,
"Antidiabetic agents",92853,6401,,,,,,,,,
Sulfonylureas,21356,1589,,,,,,,,,
Non-sulfonylureas,30091,2259,,,,,,,,,
Insulin,19805,1639,,,,,,,,,
Thiazolidinediones,13818,1158,,,,,,,,,
Meglitinides,1024,293,,,,,,,,,
"Antidiabetic combinations",5027,837,,,,,,,,,
"Dipeptidyl peptidase 4 inhibitors",1236,273,,,,,,,,,
"Antigout agents",8171,931,,,,,,,,,
"Antihyperuricemic agents",6325,743,,,,,,,,,
"Glucose elevating agents",*199,106,,,,,,,,,
"Medical gases",1468,325,,,,,,,,,
"Pharmaceutical aids",6945,1498,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Therapeutic drug category","Number of occurences per 100 drug mentions","Standard error of rate",,,,,,,,,
"All occurrences",113.1,0.2,,,,,,,,,
Anti-infectives,7.6,0.3,,,,,,,,,
Amebicides,0.2,0,,,,,,,,,
Antifungals,0.2,0,,,,,,,,,
"Azole antifungals",0.2,0,,,,,,,,,
"Miscellaneous antifungals",0,0,,,,,,,,,
"Antimalarial agents",0.4,0,,,,,,,,,
"Antimalarial quinolines",0.1,0,,,,,,,,,
"Miscellaneous antimalarials",0.2,0,,,,,,,,,
"Antituberculosis agents",*0.0,0,,,,,,,,,
"Nicotinic acid derivatives",*0.0,0,,,,,,,,,
"Rifamycin derivatives",*0.0,0,,,,,,,,,
"Antiviral agents",0.4,0,,,,,,,,,
"Protease inhibitors",*0.0,0,,,,,,,,,
NRTIs,*0.0,0,,,,,,,,,
NNRTIs,*0.0,0,,,,,,,,,
"Adamantane antivirals",0,0,,,,,,,,,
"Purine nucleosides",0.2,0,,,,,,,,,
"Neuraminidase inhibitors",0,0,,,,,,,,,
"Antiviral combinations",*0.0,0,,,,,,,,,
Cephalosporins,1.1,0.1,,,,,,,,,
"First generation cephalosporins",0.6,0,,,,,,,,,
"Second generation cephalosporins",0.1,0,,,,,,,,,
"Third generation cephalosporins",0.4,0,,,,,,,,,
"Fourth generation cephalosporins",0,0,,,,,,,,,
Leprostatics,0,0,,,,,,,,,
"Macrolide derivatives",1.1,0.1,,,,,,,,,
Macrolides,1.1,0.1,,,,,,,,,
"Miscellaneous antibiotics",1,0.1,,,,,,,,,
Penicillins,1.7,0.1,,,,,,,,,
"Penicillinase resistant penicillins",*0.0,0,,,,,,,,,
Aminopenicillins,1,0.1,,,,,,,,,
"Beta-lactamase inhibitors",0.5,0.1,,,,,,,,,
"Natural penicillins",0.1,0,,,,,,,,,
Quinolones,1.2,0.1,,,,,,,,,
Sulfonamides,0.5,0,,,,,,,,,
Tetracyclines,0.3,0,,,,,,,,,
"Urinary anti-infectives",0.1,0,,,,,,,,,
Aminoglycosides,0,0,,,,,,,,,
"Lincomycin derivatives",0.2,0,,,,,,,,,
Antineoplastics,1.1,0.1,,,,,,,,,
"Alkylating agents",0.1,0,,,,,,,,,
Antibiotics/antineoplastics,0,0,,,,,,,,,
Antimetabolites,0.3,0,,,,,,,,,
Hormones/antineoplastics,0.5,0,,,,,,,,,
"Miscellaneous antineoplastics",0.1,0,,,,,,,,,
"Mitotic inhibitors",0,0,,,,,,,,,
"Antineoplastic monoclonal antibodies",0.1,0,,,,,,,,,
"Tyrosine kinase inhibitors",0,0,,,,,,,,,
Biologicals,0.2,0,,,,,,,,,
"Colony stimulating factors",0,0,,,,,,,,,
"Recombinant human erythropoietins",0.1,0,,,,,,,,,
"Cardiovascular agents",15.4,0.4,,,,,,,,,
"Angiotensin converting enzyme inhibitors",2.6,0.1,,,,,,,,,
"Antiadrenergic agents, peripherally acting",0.6,0,,,,,,,,,
"Antiadrenergic agents, centrally acting",0.2,0,,,,,,,,,
