"Table 5. Ambulatory care visits by setting type, according to characteristics of patient’s ZIP Code of residence: United States, 2007",,
,,
,,
,,
,,
,,
"Urban-rural classification","Number of visits in thousands","Standard error in thousands"
"All visits",1200017,42950
"Large central metro",305695,28614
"Large fringe metro",254086,17840
"Medium metro",284802,34738
"Small metro",99767,15065
Nonmetropolitan,196784,20981
Micropolitan,111627,18147
"Noncore (nonmetro)",85158,9990
,,
"Median household income","Number of visits in thousands","Standard error in thousands"
"All visits",1200017,42950
"Quartile 1 ($0 to $32,793)",273597,19945
"Quartile 2 ($32,794 to $40,626)",260852,15437
"Quartile 3 ($40,627 to $52,387)",267658,16544
"Quartile 4 ($52,388 and over)",311314,19317
,,
"Percentage with bachelor’s degree or higher","Number of visits in thousands","Standard error in thousands"
"All visits",1200017,42950
"Quartile 1 (0–1283)",276791,16854
"Quartile 2 (1284–1966)",268486,18082
"Quartile 3 (1967–3168)",275661,14862
"Quartile 4 (3169 and over)",292200,17662
,,
"Percentage of poverty","Number of visits in thousands","Standard error in thousands"
"All visits",1200017,42950
"Less than 5 percent",250565,15654
"5.00–9.99 percent",330123,17574
"10.00–19.99 percent",359314,19956
"20 percent of more",173347,13382
,,
"Percentage of poverty (method 2)","Number of visits in thousands","Standard error in thousands"
"All visits",1200017,42950
"Less than 20 percent",940001,36699
"20.00–29.99 percent",127133,10888
"30.00–39.99 percent",34118,4369
"40 percent or more",12096,2568
,,
,,
,,
,,
,,
,,
,,
"Urban-rural classification","Percent distribution","Standard error of percent"
"All visits",100,-
"Large central metro",25.5,2.2
"Large fringe metro",21.2,1.4
"Medium metro",23.7,2.7
"Small metro",8.3,1.2
Nonmetropolitan,16.4,1.7
Micropolitan,9.3,1.4
"Noncore (nonmetro)",7.1,0.9
,,
"Median household income","Percent distribution","Standard error of percent"
"All visits",100,-
"Quartile 1 ($0 to $32,793)",22.8,1.5
"Quartile 2 ($32,794 to $40,626)",21.7,1.1
"Quartile 3 ($40,627 to $52,387)",22.3,1.1
"Quartile 4 ($52,388 and over)",25.9,1.4
,,
"Percentage with bachelor’s degree or higher","Percent distribution","Standard error of percent"
"All visits",100,
"Quartile 1 (0–1283)",23.1,1.3
"Quartile 2 (1284–1966)",22.4,1.1
"Quartile 3 (1967–3168)",23,1.1
"Quartile 4 (3169 and over)",24.3,1.2
,,
"Percentage of poverty","Percent distribution","Standard error of percent"
"All visits",100,-
"Less than 5 percent",20.9,1.1
"5.00–9.99 percent",27.5,1.1
"10.00–19.99 percent",29.9,1.2
"20 percent of more",14.4,1.1
,,
"Percentage of poverty (method 2)","Percent distribution","Standard error of percent"
"All visits",100,-
"Less than 20 percent",78.3,1.3
"20.00–29.99 percent",10.6,0.8
"30.00–39.99 percent",2.8,0.4
"40 percent or more",1,0.2
,,
