"Table 11. Therapeutic categories for drugs provided, prescribed, or continued at ambulatory care visits, with percent distribution by setting type: United States, 2007",,,,,,
,,,,,,
"Percent distribution",,,,,,
,,,,,,
"Therapeutic drug category",Total,"Primary care",Surgical,Medical,"Hospital outpatient",Emergency
"All occurrences",100,47.7,11.7,23.7,8.4,8.6
Anti-infectives,100,56.1,9.2,10.3,7.8,16.7
Amebicides,100,56.4,*,*,11.2,17.9
Antifungals,100,65.7,*,17,9.7,4.5
"Azole antifungals",100,65.2,*,17.2,9.9,4.5
"Miscellaneous antifungals",100,*,*,*,*,*
"Antimalarial agents",100,44,5.6,34.1,8.9,7.4
"Antimalarial quinolines",100,40.2,*,42.5,*8.8,*
"Miscellaneous antimalarials",100,46,*,29.2,8.7,11.9
"Antituberculosis agents",100,*,*,*,*14.4,*
"Nicotinic acid derivatives",100,*,-,*,*,*
"Rifamycin derivatives",100,*,-,*,*,*
"Antiviral agents",100,42.8,*,26.8,18.8,5.6
"Protease inhibitors",100,*,-,*,*34.0,*
NRTIs,100,*,*,*,*34.7,*
NNRTIs,100,*,-,*,*63.7,*
"Adamantane antivirals",100,*,*,*,*,*
"Purine nucleosides",100,60.3,*,14.4,10.7,5.5
"Neuraminidase inhibitors",100,*,*,-,-,*27.0
"Antiviral combinations",100,*,-,*,*43.6,*
Cephalosporins,100,52.3,8.5,6.1,6.6,26.6
"First generation cephalosporins",100,50.2,9.1,*6.2,7.8,26.8
"Second generation cephalosporins",100,58.1,*14.9,*,*5.1,6
"Third generation cephalosporins",100,53.6,6,*,5.5,31.7
"Fourth generation cephalosporins",100,-,-,-,*,*
Leprostatics,100,*,-,*,*,-
"Macrolide derivatives",100,69.8,4.4,*4.3,7.4,14.1
Macrolides,100,69.8,4.4,*4.3,7.4,14.1
"Miscellaneous antibiotics",100,48.3,8.3,12,8.6,22.8
Penicillins,100,70.5,3.7,3,7.1,15.6
"Penicillinase resistant penicillins",100,*,-,*,*,*
Aminopenicillins,100,74.4,2.5,*,7.4,13.1
"Beta-lactamase inhibitors",100,69,6.9,*,6,14.9
"Natural penicillins",100,47.9,*,*,8.9,38.2
Quinolones,100,47.5,25.3,5.9,4.8,16.5
Sulfonamides,100,50.7,6.4,12.2,8.9,21.8
Tetracyclines,100,37.6,*,40.4,7.7,8.6
"Urinary anti-infectives",100,56.7,15.4,*,9.2,14.1
Aminoglycosides,100,*,*,*,*19.6,14.1
"Lincomycin derivatives",100,26.7,*15.2,23.7,*5.5,28.9
Antineoplastics,100,29.6,10.5,47,12.5,0.4
"Alkylating agents",100,*,*,64.3,*25.4,*
Antibiotics/antineoplastics,100,*,*,*,*34.4,*
Antimetabolites,100,25.6,*,58.3,*10.6,*
Hormones/antineoplastics,100,46.5,13.9,28.4,10.6,*
"Miscellaneous antineoplastics",100,*,*,75.8,*7.5,*
"Mitotic inhibitors",100,*,*,62.3,*21.7,-
