Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",548,51.3,0.2,*,48.1,48.8,49.8,51.4,52.8,53.8,54.7,*
"3 years",584,54.4,0.19,50.5,51.1,51.9,52.5,54.5,56.1,56.9,57.6,58.4
"4 years",530,57.3,0.22,*,53.9,54.3,55.2,57.3,59,60.3,61.2,*
"5 years",556,60.2,0.24,*,56.1,56.8,58.2,60,62.3,63.4,64.3,*
"6 years",272,62.6,0.33,*,*,59.8,60.6,62.8,64.4,66,*,*
"7 years",275,65.6,0.34,*,*,62.6,63.3,65.4,67.9,69,*,*
"8 years",245,68.3,0.38,*,*,65.3,66.2,68.4,70.1,70.7,*,*
"9 years",278,70.7,0.39,*,*,67.1,68.2,70.4,72.8,74.4,*,*
"10 years",261,73.6,0.42,*,*,69.8,70.8,73.7,76.2,78.1,*,*
"11 years",275,77.4,0.43,*,*,73.1,74.1,77.8,80.6,81.6,*,*
"12 years",237,80.4,0.51,*,*,75.9,76.9,80.2,83.4,85.3,*,*
"13 years",219,83.1,0.52,*,*,78.2,79.5,83.2,86.2,87.2,*,*
"14 years",218,84.3,0.45,*,*,80.6,81.5,84.9,87.2,88,*,*
"15 years",196,85.5,0.47,*,*,82.4,83.3,85.2,87.7,89.3,*,*
"16 years",217,85.7,0.39,*,*,82.3,83.6,86,88.1,89,*,*
"17 years",215,86,0.41,*,*,82.7,83.5,85.7,88.6,89.8,*,*
"18 years",190,85.6,0.52,*,*,81.3,82.4,85.7,88.8,89.4,*,*
"19 years",192,86.6,0.44,*,*,82.8,84.3,86.5,89.2,90.6,*,*
"20 years and older",8598,85.5,0.09,78.8,80.5,81.6,83,85.6,88.1,89.5,90.4,91.7
"20–29 years",1837,86.1,0.13,80.2,81.5,82.5,83.6,86.1,88.5,90,90.9,92
"30–39 years",1837,86.7,0.13,80.6,82,82.9,84.4,86,89.1,90.3,91.3,92.5
"40–49 years",1338,86.5,0.15,80.8,82.1,82.9,84.1,86.6,88.9,90.1,90.9,92.5
"50–59 years",981,85.5,0.17,79.5,80.8,82.1,83.4,85.6,88,89.1,89.8,91.1
"60–69 years",1107,84,0.15,78.6,79.9,80.9,82,84,86.2,87.4,88.4,89.5
"70–79 years",894,82.4,0.2,76,77.6,78.7,80.2,82.8,84.9,86.2,86.8,88
"80 years and older",604,79.6,0.24,72.9,74.5,75.6,77.1,79.6,82.4,83.6,84.6,85.8
