Age,"Sample size",Mean,"Standard error",Median
"All ages",13922,1833,48.2,1049
"2–11 months",815,649,47.8,268
"1–2 years",1171,959,47,637
"3–5 years",1424,1074,65.2,706
"6–11 years",1581,1232,60.5,824
"12–15 years",750,1399,85.5,981
"16–19 years",711,1450,98.2,992
"20–29 years",1587,1829,119.8,1127
"30–39 years",1424,2047,138.9,1206
"40–49 years",1188,2054,162.4,1185
"50–59 years",820,2631,195.1,1338
"60–69 years",1111,2185,89.7,1245
"70–79 years",783,2202,188.5,1141
"80 years and over",557,2008,158.1,1073
