Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,0.592,0.077,0.475,0.5,0.515,0.539,0.586,0.638,0.67,0.696,0.728
"12–15 years",2318,0.757,0.09,0.61,0.641,0.661,0.697,0.759,0.815,0.845,0.869,0.907
"16–19 years",2027,0.826,0.089,0.682,0.715,0.734,0.765,0.821,0.882,0.918,0.945,0.978
"20–29 years",1378,0.849,0.094,0.703,0.735,0.751,0.784,0.842,0.903,0.939,0.967,1.018
"30–39 years",1372,0.874,0.105,0.714,0.746,0.766,0.798,0.864,0.943,0.978,1.013,1.056
"40–49 years",1570,0.88,0.115,0.711,0.736,0.761,0.797,0.874,0.953,0.994,1.031,1.078
"50–59 years",1200,0.851,0.122,0.666,0.702,0.727,0.765,0.84,0.929,0.982,1.012,1.056
"60–69 years",1419,0.816,0.133,0.625,0.656,0.685,0.719,0.805,0.893,0.951,0.986,1.048
"70–79 years",750,0.779,0.121,0.597,0.638,0.66,0.695,0.768,0.854,0.904,0.932,0.99
"80 years and over",594,0.734,0.128,0.552,0.586,0.612,0.641,0.721,0.809,0.855,0.89,0.955
"20 years and over (age-adjusted)",8283,0.847,,,,,,,,,,
