"Cause of death (both sexes, Neonates)","Death rate (per 100000)"
"All causes",368.3
"Disorders related to short gestation and low birth weight, not elsewhere classified",90
"Congenital malformations, deformations and chromosomal abnormalities",81.3
"Newborn affected by maternal complications of pregnancy",33.1
"Newborn affected by complications of placenta, cord and membranes",19.5
"Bacterial sepsis of newborn",15.5
"Respiratory distress of newborn",10.9
"Neonatal hemorrhage",8.9
"Intrauterine hypoxia and birth asphyxia",8.5
"Necrotizing enterocolitis of newborn",8.3
Atelectasis,6.1
"All other causes",86
