Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",93.42,100.35,103.95,109.02,121.34,136.24,146.6,156.17,171.41
"12–15 years",126.09,134.49,143.66,156.89,190.43,222.91,236.53,245.3,261.66
"16–19 years",192.15,203.15,210.06,220.76,240.53,262.6,274.4,282.14,295.58
"20–29 years",209.61,221.29,228.02,237.07,255.7,273.67,283.97,291.68,302.88
"30–39 years",215.28,224.69,231.48,240.74,258.74,278.46,288.1,296.04,305.41
"40–49 years",222.72,232.97,239.37,248.69,265.12,283.88,293.2,300.17,309.73
"50–59 years",220.49,230.51,236.98,248.92,265.32,282.29,292.23,298.88,309.88
"60–69 years",218.79,230.26,236.84,247.9,264.43,282.43,292.09,299.31,309.21
"70–79 years",210.64,222.79,229.76,241.22,260.15,280.21,289.23,294.89,304.91
"80 years and over",199.84,211.32,217.87,228.74,248.65,268.46,279.65,285.47,298.8
