"Table 8. Number and percent distribution of emergency department visits with corresponding standard errors, by initial vital signs,",,
"episode of care, prior visits, and prior hospital discharges: United States, 2007",,
,,
,,
,,
,,
,,
Temperature,"Number of visits in thousands","Standard error in thousands"
"All visits",116802,6293
"Febrile: >38.0 °C or >100.4 °F ",5629,424
"Normal: 35.1–38.0 °C or 95.1–100.4 °F",102622,5603
"Hypothermic: :<35.0 °C or <95.0 °F",517,77
"Unknown or blank ",8034,831
,,
"Pulse oximetry1","Number of visits in thousands","Standard error in thousands"
"All visits",116802,6293
"95–100% ",78690,5133
90–94%,5319,519
0.9,2789,603
"Unknown or blank",30004,2485
,,
,,
"Oriented to time, place, and person","Number of visits in thousands","Standard error in thousands"
"All visits",116802,6293
"Yes ",85811,4437
No,2541,209
"Unknown or blank ",28451,2748
,,
"Presenting level of pain","Number of visits in thousands","Standard error in thousands"
"All visits",116802,6293
None,23955,1382
Mild,14370,885
Moderate,27187,1666
Severe,26196,1616
"Unknown or blank ",25094,2389
,,
"Episode of care","Number of visits in thousands","Standard error in thousands"
"All visits",116802,6293
"Initial visit",92065,4965
"Follow-up visit",8341,701
"Unknown or blank",16396,1722
,,
"Patient seen in this emergency department within the last 72 hours","Number of visits in thousands","Standard error in thousands"
"All visits",116802,6293
Yes,4463,391
No,86681,5128
"Unknown or blank",25658,2742
,,
"Patient discharged from any hospital within the last 7 days","Number of visits in thousands","Standard error in thousands"
"All visits",116802,6293
Yes,2701,228
No,65459,4881
"Unknown or blank ",48642,3360
,,
,,
,,
,,
Temperature,"Percent distribution","Standard error of percent"
"All visits",100,-
"Febrile: >38.0 °C or >100.4 °F ",4.8,0.3
"Normal: 35.1–38.0 °C or 95.1–100.4 °F",87.9,0.6
"Hypothermic: :<35.0 °C or <95.0 °F",0.4,0.1
"Unknown or blank ",6.9,0.6
,,
"Pulse oximetry1","Percent distribution","Standard error of percent"
"All visits",100,-
"95–100% ",67.4,1.9
90–94%,4.6,0.3
0.9,2.4,0.5
"Unknown or blank",25.7,1.9
,,
,,
"Oriented to time, place, and person","Percent distribution","Standard error of percent"
"All visits",100,-
"Yes ",73.5,1.5
No,2.2,0.2
"Unknown or blank ",24.4,1.6
,,
"Presenting level of pain","Percent distribution","Standard error of percent"
"All visits",100,-
None,20.5,0.7
Mild,12.3,0.5
Moderate,23.3,0.8
Severe,22.4,0.6
"Unknown or blank ",21.5,1.5
,,
"Episode of care","Percent distribution","Standard error of percent"
"All visits",100,-
"Initial visit",78.8,1.3
"Follow-up visit",7.1,0.4
"Unknown or blank",14,1.2
,,
"Patient seen in this emergency department within the last 72 hours","Percent distribution","Standard error of percent"
"All visits",100,-
Yes,3.8,0.2
No,74.2,1.9
"Unknown or blank",22,2
,,
"Patient discharged from any hospital within the last 7 days","Percent distribution","Standard error of percent"
"All visits",100,-
Yes,2.3,0.2
No,56,2.3
"Unknown or blank ",41.6,2.3
