"Table 7. Percent distribution of emergency department visits with corresponding standard errors, by immediacy with which patient",,,,,,,,,,,,,,
"should be seen according to selected patient and visit characteristics: United States, 2007",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Age,"Number of visits in thousands",Total,"Immediate : Percent distribution","Immediate : Standard error","Emergent : Percent distribution","Emergent : Standard error","Urgent : Percent distribution","Urgent : Standard error","Semiurgent : Percent distribution","Semiurgent : Standard error","Nonurgent : Percent distribution","Nonurgent : Standard error","Unknown or no triage : Percent distribution","Unknown or no triage : Standard error"
"All visits",116802,100,4.5,0.6,11.3,0.7,38.5,1.4,21,1.1,7.9,0.7,16.9,2
"Under 15 years",22308,100,2.3,0.6,8.2,0.9,33.2,2.5,26,2.2,8.6,1,21.6,4.2
"Under 1 year",3766,100,3.5,0.9,9.6,1.5,32.6,3.3,23.9,3,8.5,1.2,21.9,5.3
"1–4 years",8340,100,*2.4,0.7,7.8,1.1,32.4,2.7,24.4,2.5,8,1.1,25.1,4.5
"5–14 years",10202,100,*1.9,0.6,8.2,0.9,34,2.4,28.1,2,9.2,1.1,18.7,3.7
"15–24 years",18983,100,3.2,0.6,9.3,0.9,37.3,1.8,23.7,1.4,9.3,0.9,17.3,2.2
"25–44 years",33485,100,3.6,0.5,10.7,0.8,39.8,1.5,21.4,1.2,9.2,0.9,15.2,1.8
"45–64 years",24491,100,5.4,0.7,13.2,0.8,40.4,1.4,19.3,1.1,6.8,0.7,15,1.7
"65 years and over",17535,100,8.8,1.2,15.7,1,41.5,1.7,13.1,1,4.4,0.6,16.5,2.2
"65–74 years",6908,100,8.4,1.2,14,1.3,42,1.9,15.5,1.4,4.9,0.7,15.1,2.1
"75 years and over",10627,100,9.1,1.3,16.8,1.2,41.2,2,11.6,1.1,4,0.6,17.4,2.3
,,,,,,,,,,,,,,
Sex,,,,,,,,,,,,,,
"All visits",116802,100,4.5,0.6,11.3,0.7,38.5,1.4,21,1.1,7.9,0.7,16.9,2
Female,63170,100,4,0.6,10.9,0.7,39.8,1.5,20.7,1.1,7.6,0.7,17,2
Male,53632,100,5,0.7,11.7,0.7,36.9,1.4,21.4,1.1,8.2,0.8,16.8,2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Immediate : A visit in which the patient should be seen in less than 1 minute.",,,,,,,,,,,,,,
"Emergent : A visit in which the patient should be seen in 1–14 minutes.",,,,,,,,,,,,,,
"Urgent : A visit in which the patient should be seen within 15–60 minutes.",,,,,,,,,,,,,,
"Semiurgent : A visit in which the patient should be seen within 61–120 minutes.",,,,,,,,,,,,,,
"Nonurgent : A visit in which the patient should be seen within 121 minutes–24 hours.",,,,,,,,,,,,,,
"Unknown or no triage : A visit in which there is no mention of triage level or immediacy rating in the medical record, the hospital did not perform triage, or the patient was dead on arrival.",,,,,,,,,,,,,,
