"Table 18. Number and percentage of drug mentions at emergency department visits, with corresponding standard errors, by the 20 most",,
"frequently occurring drug categories: United States, 2007",,
,,
,,
,"Number of mentions in thousands","Standard error in thousands"
Analgesics3,77545,4631
"Antiemetic/antivertigo agents",23234,1553
Antihistamines,12100,775
"Anxiolytics, sedatives, and hypnotics",9199,548
Cephalosporins,8041,650
"Minerals and electrolytes",7684,794
Bronchodilators,7296,473
Penicillins,7132,515
"Adrenal cortical steroids",6267,419
"Miscellaneous antibiotics",5899,403
Anticonvulsants,5581,384
Quinolones,5105,342
"Miscellaneous respiratory agents",5047,720
"Macrolide derivatives",4231,310
"Muscle relaxants",4066,297
"Antiplatelet agents",3838,317
"Dermatological agents",3417,322
"Antiparkinson agents",3108,212
Sulfonamides,3053,266
Toxoids4,2730,192
,,
,"Percent of drug mentions","Standard error of percent"
Analgesics3,36.3,0.4
"Antiemetic/antivertigo agents",10.9,0.3
Antihistamines,5.7,0.2
"Anxiolytics, sedatives, and hypnotics",4.3,0.1
Cephalosporins,3.8,0.2
"Minerals and electrolytes",3.6,0.3
Bronchodilators,3.4,0.2
Penicillins,3.3,0.2
"Adrenal cortical steroids",2.9,0.1
"Miscellaneous antibiotics",2.8,0.1
Anticonvulsants,2.6,0.1
Quinolones,2.4,0.1
"Miscellaneous respiratory agents",2.4,0.3
"Macrolide derivatives",2,0.1
"Muscle relaxants",1.9,0.1
"Antiplatelet agents",1.8,0.1
"Dermatological agents",1.6,0.1
"Antiparkinson agents",1.5,0.1
Sulfonamides,1.4,0.1
Toxoids4,1.3,0.1
