"Table 16. Number and percentage of emergency department visits with corresponding standard errors, by selected procedures:",,
"United States, 2007",,
,,
"Selected procedures","Number of visits in thousands","Standard error in thousands"
"All visits",116802,6293
"One or more procedure listed",53090,3219
None1,57911,3475
Blank2,5801,702
"Intravenous fluids",31045,2021
"Splint or wrap",6681,466
"Laceration repair",5125,319
"Nebulizer therapy",3048,245
"Bladder catheter",2576,279
"Wound debridement",1967,234
"Incision and drainage",1174,127
Cast,529,69
"Foreign body removal",450,51
"Nasogastric tube gastric suction",365,84
"Endotracheal intubation",269,70
Other,9706,1371
,,
,,
,,
,,
"Selected procedures","Percent of visits","Standard error of percent"
"One or more procedure listed",45.5,1.3
None1,49.6,1.3
Blank2,5,0.5
"Intravenous fluids",26.6,0.9
"Splint or wrap",5.7,0.2
"Laceration repair",4.4,0.2
"Nebulizer therapy",2.6,0.2
"Bladder catheter",2.2,0.2
"Wound debridement",1.7,0.2
"Incision and drainage",1,0.1
Cast,0.5,0.1
"Foreign body removal",0.4,0
"Nasogastric tube gastric suction",*0.3,0.1
"Endotracheal intubation",*0.2,0.1
Other,8.3,1.1
.,,
