"Table 9. Number and percent distribution of visits with corresponding standard errors, by the 10 leading principal reasons for",,
"emergency department visits, according to age and sex: United States, 2007",,
,,
"Principal reason","Number of visits in thousands","Standard error in thousands"
"All visits under age <15",22308,1864
"All visits, age 15–64 years",76959,4249
"All visits, age 65 years and over",17535,1014
,,
,,
,,
,,
"Principal reason","Number of visits in thousands","Standard error in thousands"
"All female visits under age 15",10072,859
Fever,1637,215
Vomiting,687,105
Cough,614,84
"Stomach pain, cramps, and spasms",451,69
"Skin rash",357,52
"Symptoms referable to throat",350,47
"Earache or ear infection",330,44
"Injury, other and unspecified type—head, neck, and face",247,41
"Headache, pain in head ",202,38
"Facial area",198,40
"All other reasons",5000,434
,,
"Principal reason","Number of visits in thousands","Standard error in thousands"
"All Male visits age 15",12236,1047
Fever,1888,212
Cough,876,106
Vomiting.,668,96
"Injury, other and unspecified type—head, neck, and face",442,70
"Earache or ear infection",440,68
"Facial area",368,44
"Skin rash",350,50
"Stomach pain, cramps, and spasms",306,40
"Symptoms referable to throat",234,38
"Labored or difficult breathing (dyspnea)",220,44
"All other reasons2",6445,594
,,
"Principal reason","Number of visits in thousands","Standard error in thousands"
"All female visits, age 15–64 years",42559,2372
"Stomach pain, cramps, and spasms",4585,331
"Chest pain and related symptoms",2285,187
"Headache, pain in head",1784,137
"Back symptoms",1460,142
"Problems of pregnancy and the post-partum period",1303,130
"Pain, site not referable to a specific body system",1260,109
"Symptoms referable to throat",949,98
"Shortness of breath.",905,84
Nausea,815,102
"Uterine and vaginal bleeding",759,79
"All other reasons2",26453,1443
,,
"Principal reason","Number of visits in thousands","Standard error in thousands"
"All male visits, age 15–64 years",34400,1963
"Chest pain and related symptoms",2159,187
"Stomach pain, cramps, and spasms",2031,148
"Back symptoms",1273,113
"Pain, site not referable to a specific body system",1219,117
"Headache, pain in head",1004,117
"Lacerations and cuts—upper extremity",971,88
"Shortness of breath.",669,64
"Symptoms referable to throat",639,74
"Low back symptoms",633,71
"Leg symptoms",589,69
"All other reasons2",23213,1332
,,
"Principal reason","Number of visits in thousands","Standard error in thousands"
"All Female visits, age 65 years and over",10539,643
"Chest pain and related symptoms",894,92
"Shortness of breath.",666,91
"Stomach pain, cramps, and spasms",629,66
"Accident, not otherwise specified ",379,56
"General weakness",374,49
Vertigo—dizziness.,276,36
Nausea,256,39
"Labored or difficult breathing (dyspnea)",246,44
"Leg symptoms",242,39
Cough,223,35
"All other reasons2",6354,389
,,
"Principal reason","Number of visits in thousands","Standard error in thousands"
"All male visits, age 65 years and over",6996,414
