"Table 1. Number, percent distribution, and annual rate of emergency department visits with corresponding standard errors, by selected
hospital characteristics: United States, 2007",,
,,
,,
"Geographic region","Number of visits in thousands","Standard error in thousands"
Northeast,20484,1834
Midwest,25062,2652
South,48713,4418
West,22543,3224
,,
"Metropolitan status","Number of visits in thousands","Standard error in thousands"
"Metropolitan statistical area",99074,6371
"Nonmetropolitan statistical area",17728,2128
,,
"Medical school affiliation","Number of visits in thousands","Standard error in thousands"
Yes,62265,4943
"No or blank",54537,4414
,,
"Trauma center","Number of visits in thousands","Standard error in thousands"
Yes,41276,4566
"No or blank",75526,5577
,,
Season,"Number of visits in thousands","Standard error in thousands"
Winter,34667,4031
Spring,30939,3576
Summer,28674,3885
Fall,22522,2554
,,
,,
,,
,,
"Geographic region","Percent distribution","Standard error of percent"
Northeast,17.5,1.6
Midwest,21.5,2.1
South,41.7,2.8
West,19.3,2.4
,,
"Metropolitan status","Percent distribution","Standard error of percent"
"Metropolitan statistical area",84.8,1.9
"Nonmetropolitan statistical area",15.2,1.9
,,
"Medical school affiliation","Percent distribution","Standard error of percent"
Yes,53.3,3
"No or blank",46.7,3
,,
"Trauma center","Percent distribution","Standard error of percent"
Yes,35.3,3.4
"No or blank",64.7,3.4
,,
Season,"Percent distribution","Standard error of percent"
Winter,29.7,2.6
Spring,26.5,2.6
Summer,24.5,3.2
Fall,19.3,2.2
,,
,,
,,
,,
"Geographic region","Number of visits per 100 persons per year","Standard error of rate"
Northeast,38,3.4
Midwest,38.4,4.1
South,45,4.1
West,32.7,4.7
,,
"Metropolitan status","Number of visits per 100 persons per year","Standard error of rate"
"Metropolitan statistical area",39.8,2.6
"Nonmetropolitan statistical area",37.5,4.5
,,
"Medical school affiliation","Number of visits per 100 persons per year","Standard error of rate"
Yes,21,1.7
"No or blank",18.4,1.5
,,
"Trauma center","Number of visits per 100 persons per year","Standard error of rate"
Yes,13.9,1.5
"No or blank",25.5,1.9
,,
Season,"Number of visits per 100 persons per year","Standard error of rate"
Winter,11.7,1.4
Spring,10.4,1.2
Summer,9.7,1.3
Fall,7.6,0.9
