"Table 23. Number and percent distribution of emergency department visits with corresponding standard errors, by the 20 leading",,
"principal hospital discharge diagnosis groups: United States, 2007",,
,,
"Principal diagnosis group","Number of visits in thousands","Standard error in thousands"
"All visits",14641,1033
"Heart disease, excluding ischemic",923,86
"Chest pain",829,128
Pneumonia,507,61
"Cerebrovascular disease",446,59
"Ischemic heart disease ",423,73
"Psychoses, excluding major depressive disorder",357,57
"Cellulitis and abscess",334,55
"Malignant neoplasms",269,45
"Fracture of the lower limb",244,36
"Syncope and collapse",223,41
"Diabetes mellitus.",218,39
"Fractures, excluding lower limb",216,37
"Gastrointestinal hemorrhage.",209,40
Anemia,208,39
"Urinary tract infection, site not specified",203,40
"Noninfectious enteritis and colitis.",195,37
"Complications of pregnancy, childbirth, and the puerperium",191,46
"Abdominal pain",186,33
"Disorder of gallbladder and biliary tract",186,43
Asthma,158,30
"All other diagnoses",8116,605
,,
,,
"Principal diagnosis group","Percent distribution","Standard error of percent"
"All visits",100,-
"Heart disease, excluding ischemic",6.3,0.5
"Chest pain",5.7,0.7
Pneumonia,3.5,0.4
"Cerebrovascular disease",3,0.3
"Ischemic heart disease ",2.9,0.4
"Psychoses, excluding major depressive disorder",2.4,0.4
"Cellulitis and abscess",2.3,0.3
"Malignant neoplasms",1.8,0.3
"Fracture of the lower limb",1.7,0.2
"Syncope and collapse",1.5,0.2
"Diabetes mellitus.",1.5,0.2
"Fractures, excluding lower limb",1.5,0.3
"Gastrointestinal hemorrhage",1.4,0.3
Anemia,1.4,0.2
"Urinary tract infection, site not specified",1.4,0.3
"Noninfectious enteritis and colitis",1.3,0.2
"Complications of pregnancy, childbirth, and the puerperium",1.3,0.3
"Abdominal pain",1.3,0.2
"Disorder of gallbladder and biliary tract",1.3,0.3
Asthma,1.1,0.2
"All other diagnoses",55.4,1.6
