| Age       | Mean  |
| --------- | ----- |
| 2.0-2.4   | 12.47 |
| 2.5-2.9   | 13.59 |
| 3.0-3.4   | 14.65 |
| 3.5-3.9   | 15.57 |
| 4.0-4.4   | 16.79 |
| 4.5-4.9   | 17.63 |
| 5.0-5.4   | 18.97 |
| 5.5-5.9   | 20.53 |
| 6.0-6.4   | 21.11 |
| 6.5-6.9   | 22.16 |
| 7.0-7.4   | 23.58 |
| 7.5-7.9   | 25.04 |
| 8.0-8.4   | 26.64 |
| 8.5-8.9   | 28.59 |
| 9.0-9.4   | 30.59 |
| 9.5-9.9   | 32.74 |
| 10.0-10.4 | 34.02 |
| 10.5-10.9 | 35.72 |
| 11.0-11.4 | 39.28 |
| 11.5-11.9 | 42.37 |
| 12.0-12.4 | 44.89 |
| 12.5-12.9 | 47.88 |
| 13.0-13.4 | 50.49 |
| 13.5-13.9 | 51.64 |
| 14.0-14.4 | 53.78 |
| 14.5-14.9 | 55.1  |
| 15.0-15.4 | 55.22 |
| 15.5-15.9 | 56.96 |
| 16.0-16.4 | 57.36 |
| 16.5-16.9 | 57.7  |
| 17.0-17.4 | 58.23 |
| 17.5-17.9 | 59.81 |
| 18.0-18.4 | 59.04 |
| 18.5-18.9 | 58.17 |
| 19.0-19.4 | 58.52 |
| 19.5-19.9 | 61.2  |
