| Age       | Mean  |
| --------- | ----- |
| 2.0-2.4   | 13.13 |
| 2.5-2.9   | 13.95 |
| 3.0-3.4   | 15.08 |
| 3.5-3.9   | 16.2  |
| 4.0-4.4   | 17.2  |
| 4.5-4.9   | 18.11 |
| 5.0-5.4   | 19.49 |
| 5.5-5.9   | 20.47 |
| 6.0-6.4   | 21.56 |
| 6.5-6.9   | 22.92 |
| 7.0-7.4   | 24.07 |
| 7.5-7.9   | 25.58 |
| 8.0-8.4   | 26.43 |
| 8.5-8.9   | 28.46 |
| 9.0-9.4   | 30.55 |
| 9.5-9.9   | 31.86 |
| 10.0-10.4 | 33.47 |
| 10.5-10.9 | 36.06 |
| 11.0-11.4 | 37.61 |
| 11.5-11.9 | 40.39 |
| 12.0-12.4 | 42.07 |
| 12.5-12.9 | 44.89 |
| 13.0-13.4 | 47.94 |
| 13.5-13.9 | 51.69 |
| 14.0-14.4 | 54.97 |
| 14.5-14.9 | 57.9  |
| 15.0-15.4 | 59.48 |
| 15.5-15.9 | 62.65 |
| 16.0-16.4 | 64.63 |
| 16.5-16.9 | 67.83 |
| 17.0-17.4 | 67.64 |
| 17.5-17.9 | 67.87 |
| 18.0-18.4 | 73.09 |
| 18.5-18.9 | 71.43 |
| 19.0-19.4 | 72.24 |
| 19.5-19.9 | 72.21 |
