"Cause of death",Number
"All causes",4052
"Sudden infant death syndrome",915
"Congenital malformations, deformations and chromosomal abnormalities"
"Accidents (unintentional injuries)",336
"Diseases of the circulatory system",199
Septicemia,135
"Assault (homicide)",122
"Influenza and pneumonia",113
"Chronic respiratory disease originating in the perinatal period",109
"Gastritis, duodenitis
"Disorders related to short gestation and low birth weight, not elsewhere classified"
"All other causes",1179
