Age,"Sample size"
"3–5 months",283
"6–8 months",313
"9–11 months",269
"1 year",644
"2 years",549
"3 years",479
"4 years",537
"5 years",491
"6 years",278
"7 years",267
"8 years",261
"9 years",271
"10 years",292
"11 years",280
"12 years",199
"13 years",180
"14 years",182
"15 years",181
"16 years",187
"17 years",190
"18 years",168
"19 years",159
"20 years and older",7148
"20–29 years",1541
"30–39 years",1377
"40–49 years",1103
"50–59 years",770
"60–69 years",1059
"70–79 years",761
"80 years and older",537
