Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,0.567,0.074,0.442,0.467,0.486,0.518,0.569,0.617,0.646,0.663,0.686
"12–15 years",2318,0.698,0.059,0.597,0.621,0.638,0.66,0.699,0.737,0.758,0.771,0.793
"16–19 years",2027,0.74,0.056,0.647,0.668,0.684,0.705,0.737,0.775,0.796,0.811,0.837
"20–29 years",1378,0.751,0.055,0.664,0.679,0.693,0.713,0.752,0.787,0.807,0.821,0.84
"30–39 years",1372,0.76,0.056,0.673,0.69,0.703,0.719,0.757,0.795,0.816,0.835,0.858
"40–49 years",1570,0.757,0.059,0.668,0.687,0.698,0.716,0.753,0.793,0.817,0.835,0.864
"50–59 years",1200,0.731,0.063,0.635,0.653,0.664,0.688,0.728,0.767,0.79,0.809,0.839
"60–69 years",1419,0.696,0.074,0.589,0.608,0.624,0.651,0.693,0.737,0.76,0.781,0.804
"70–79 years",750,0.655,0.065,0.548,0.569,0.585,0.612,0.652,0.698,0.724,0.739,0.769
"80 years and over",594,0.612,0.072,0.5,0.527,0.542,0.562,0.609,0.656,0.678,0.702,0.725
"20 years and over (age-adjusted)",8283,0.731,,,,,,,,,,
