| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.22           |
| 3     | 0.22           |
| 4     | 0.26           |
| 5     | 0.29           |
| 6     | 0.72           |
| 7     | 0.55           |
| 8     | 0.73           |
| 9     | 0.89           |
| 10    | 0.87           |
| 11    | 0.75           |
| 12    | 0.89           |
| 13    | 0.98           |
| 14    | 0.98           |
| 15    | 0.95           |
| 16    | 0.7            |
| 17    | 0.74           |
| 18    | 0.78           |
| 19    | 1.15           |
| 20+   | 0.18           |
| 20–29 | 0.29           |
| 30–39 | 0.32           |
| 40–49 | 0.36           |
| 50–59 | 0.42           |
| 60–69 | 0.37           |
| 70–79 | 0.44           |
| 80+   | 0.49           |
