Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",28.79,31.28,33.1,36.71,44.48,53.4,58.16,62.94,68.94
"12–15 years",46.15,51.37,55.1,59.88,69.63,80.24,85.95,90.38,98.33
"16–19 years",56.14,60.78,64.21,68.27,77.64,89.13,95.82,100.07,108.36
"20–29 years",58.04,61.29,64.39,69.12,79.03,90.37,96.86,101.23,108.98
"30–39 years",56.38,60.12,63.08,67.79,78.03,89.54,97.25,103.46,114.13
"40–49 years",53.1,57.37,60.75,65.56,75.64,86.55,93.22,100.12,108.85
"50–59 years",50.1,54.11,57.61,62.25,71.34,82.5,89.07,94.24,102.2
"60–69 years",44.89,48.97,51.91,55.99,65.59,75.46,82.03,87.09,95.2
"70–79 years",39.71,43.58,46.43,50.47,59.14,68.24,74.41,78.3,83.62
"80 years and over",33.71,37.58,39.97,44.71,52.58,60.21,66.1,70.71,76.29
