"Cause of death (both sexes, 10–14 years)","Death rate (per 100000)"
"All causes",15.2
"Accidents (unintentional injuries)",3.7
"Intentional self-harm (suicide)",2.6
"Malignant neoplasms",1.9
"Assault (homicide)",0.9
"Congenital malformations, deformations and chromosomal abnormalities",0.9
"Diseases of heart",0.4
"Chronic lower respiratory diseases",0.4
"Influenza and pneumonia",0.3
"Cerebrovascular diseases",0.2
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",0.2
"All other causes",3.6
