| Cause of death                                                          | Number |
| ----------------------------------------------------------------------- | ------ |
| Maternal causes                                                         | 396    |
| Pregnancy with abortive outcome                                         | 37     |
| Ectopic pregnancy                                                       | 25     |
| Spontaneous abortion                                                    | 4      |
| Medical abortion                                                        | 3      |
| Other abortion                                                          | \-     |
| Other and unspecified pregnancy with abortive outcome                   | 5      |
| Other direct obstetric causes                                           | 300    |
| Eclampsia and pre-eclampsia                                             | 72     |
| Hemorrhage of pregnancy and childbirth and placenta previa              | 30     |
| Complications predominantly related to the puerperium                   | 93     |
| Obstetrical tetanus                                                     | \-     |
| Obstetric embolism                                                      | 58     |
| Other complications predominantly related to the puerperium             | 35     |
| All other direct obstetric causes                                       | 105    |
| Obstetric death of unspecifed cause                                     | 4      |
| Indirect obstetric causes                                               | 55     |
| Maternal causes, 42+ days after delivery or termination of pregnancy    | 8      |
| Any Obstetric cause occurring 42+ days after delivery, less than 1 year | 2      |
| Death from sequelae of direct obstetric causes                          | 6      |
