"Cause of death",Number,Rate
"Maternal causes",396,9.8
"Pregnancy with abortive outcome",37,0.9
"Ectopic pregnancy",25,0.6
"Spontaneous abortion",4,*
"Medical abortion",3,*
"Other abortion",-,*
"Other and unspecified pregnancy with abortive outcome",5,*
"Other direct obstetric causes",300,7.4
"Eclampsia and pre-eclampsia",72,1.8
"Hemorrhage of pregnancy and childbirth and placenta previa",30,0.7
"Complications predominantly related to the puerperium",93,2.3
"Obstetrical tetanus",-,*
"Obstetric embolism",58,1.4
"Other complications predominantly related to the puerperium",35,0.9
"All other direct obstetric causes",105,2.6
"Obstetric death of unspecifed cause",4,*
"Indirect obstetric causes",55,1.4
"Maternal causes more than 42 days after delivery or termination of pregnancy",8,*
"Death from any obstetric cause occurring more than 42 days but less than one year after delivery",2,*
"Death from sequelae of direct obstetric causes",6,*
