"Cause of death","Rate (per 100000)"
"All causes",690.7
"Congenital malformations, deformations and chromosomal abnormalities",141.5
"Disorders related to short gestation and low birth weight, not elsewhere classified",108.3
"Sudden infant death syndrome",62.2
"Newborn affected by maternal complicationsof pregnancy",34.6
"Newborn affected by complications of placenta, cord and membranes",26.2
"Respiratory distress of newborn",24.6
"Accidents (unintentional injuries)",21.7
"Bacterial sepsis of newborn",18.9
"Diseases of the circulatory system",16.3
"Intrauterine hypoxia and birth asphyxia",15.5
"All other causes",220.9
