"Cause of death","Rate (per 100000)"
"All causes",621.5
"Congenital malformations, deformations and chromosomal abnormalities",137
"Disorders related to short gestation and low birth weight, not elsewhere classified",101.2
"Sudden infant death syndrome",51.2
"Newborn affected by maternal complications of pregnancy",30.9
"Newborn affected by complications of placenta, cord and membranes",24.9
"Accidents (unintentional injuries)",19.2
"Respiratory distress of newborn",18
"Bacterial sepsis of newborn",16.2
"Diseases of the circulatory system",15.4
"Intrauterine hypoxia and birth asphyxia",14
"All other causes",193.5
