"Primary diagnosis","Number of visits in thousands","Standard error in thousands"
"All male visits, age 15–64 years",34400,1963
"Open wound, excluding head",1816,151
"Contusion with intact skin surface",1425,120
"Chest pain",1421,141
"Cellulitis and abscess",1118,102
"Spinal disorders",1112,108
"Sprains and strains, excluding ankle and back",1026,95
"Abdominal pain",1009,104
"Sprains and strains of neck and back",948,96
"Fractures, excluding lower limb",911,85
"Drug dependence and nondependence abuse of drugs",690,74
"All other diagnoses",22924,1314
