Age,"Sample size",Mean,"Standard error",Median
"All ages",15182,14.3,0.25,10
"2–11 months",805,42.2,1.12,45.4
"1–2 years",1139,22.1,0.61,19.8
"3–5 years",1517,19.9,0.65,17.7
"6–11 years",1553,19,0.6,17
"12–15 years",848,16.8,1.08,13.1
"16–19 years",811,14.5,0.98,9.9
"20–29 years",1813,12.9,0.68,7.2
"30–39 years",1814,12.7,0.45,8.8
"40–49 years",1315,11.3,0.47,7.2
"50–59 years",979,11.3,0.45,8.1
"60–69 years",1097,13.2,0.55,9.4
"70–79 years",895,13,0.55,10.6
"80 years and over",596,14.7,0.57,11.2
