"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",247408,100,3015.7
"Malignant neoplasms",83191,33.6,1014
"Diseases of heart",74589,30.1,909.2
"Chronic lower respiratory diseases",16210,6.6,197.6
"Cerebrovascular diseases",12042,4.9,146.8
"Diabetes mellitus",8226,3.3,100.3
"Accidents (unintentional injuries)",4639,1.9,56.5
"Influenza and pneumonia",4013,1.6,48.9
"Nephritis, nephrotic syndrome and nephrosis",3564,1.4,43.4
"Chronic liver disease and cirrhosis",3317,1.3,40.4
Septicemia,2867,1.2,34.9
"All other causes",34750,14,423.6
