"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",441209,100,2428.6
"Malignant neoplasms",150131,34,826.4
"Diseases of heart",122405,27.7,673.8
"Chronic lower respiratory diseases",31157,7.1,171.5
"Cerebrovascular diseases",23649,5.4,130.2
"Diabetes mellitus",16674,3.8,91.8
"Accidents (unintentional injuries)",7698,1.7,42.4
"Influenza and pneumonia",7189,1.6,39.6
"Nephritis, nephrotic syndrome and nephrosis",6990,1.6,38.5
Septicemia,5704,1.3,31.4
"Chronic liver disease and cirrhosis",5482,1.2,30.2
"All other causes",64130,14.5,353
